,fisherz,fisherz_binary,hsic_test_gamma,hsic_test_gamma_stat,hsic_test_gamma_binary,kci,kci_binary,mv_fisherz,mv_fisherz_binary,local_score_cv_general_10_0.01,local_score_cv_general_10_0.05,local_score_cv_general_10_0.1,local_score_cv_general_binary,if_cause_is_dicrete,if_effect_is_dicrete,mutual_info,cond_mut_info,additive_noise_model,RESET_is_nonlinear,RESET_linear_lm_pval,RESET_linear_reset_fitted_pvalue,RESET_linear_reset_exog_pvalue,RESET_linear_reset_pricomp_pvalue,RESET_linear_reset_chisq_fitted_pvalue,RESET_linear_reset_chisq_exog_pvalue,RESET_linear_reset_chisq_precomp_pvalue,local_score_BIC_0.1,local_score_BIC_0.5,local_score_BIC_1,local_score_BIC_1.5,local_score_BIC_binary,degenerate_score,degenerate_score_binary,Label
M1_Mixed_X24_causes_M1_Mixed_X47,0.665830893066224,0,0.0,3.790327321092181,1,0.4922386598239492,0,0.665830893066224,0,21149.21561267712,21149.663817448432,21149.773564806856,1,3,2,0.078820201300767,1.6321689895923803,0.0,0,0.4380695752861127,0.3002928571333192,0.3002928570605563,0.3002928570606776,0.2998939661556458,0.2998939660828412,0.2998939660829093,-5577.774323821112,-5577.774323821112,-5577.774323821112,-5577.774323821112,0,1501.194352340858,1,0
M2_Mixed_X33_causes_M2_Mixed_X20,0.0026285849854037,1,0.0479738050226683,0.5892091828201133,1,0.0,1,0.0026285849854037,1,21150.595414948217,21150.51440184126,21150.494138687944,1,3,2,0.0,1.5124253011985966,1.0251727227128526e-06,0,0.8676766002145502,0.1069959446658252,0.1069959447549955,0.1069959447549205,0.1065108987119004,0.1065108988010255,0.1065108988009523,-5538.661930798065,-5538.661930798065,-5538.661930798065,-5538.661930798065,0,1333.0397329692591,1,0
M1_Mixed_X36_causes_M1_Mixed_X47,0.1243327777064351,0,4.377270648237008e-05,1.4831558589380591,1,0.1492730759446763,0,0.1243327777064351,0,21012.470434828378,21012.437719145808,21012.423612968167,0,2,2,0.0272345418623928,1.5486462467592257,0.0073047768087989,0,0.2178079767338316,0.2485660290312488,0.2485659917745371,0.2485659917712938,0.2481222400084479,0.2481222027222728,0.2481222027190167,1873.2961645909377,1873.2961645909377,1873.2961645909377,1873.2961645909377,0,-5319.889657940428,0,0
C1_Mixed_X23_causes_C1_Mixed_X50,0.0,1,0.0,8.693463728877065,1,0.0,1,0.0,1,21147.91237449372,21148.49133900839,21149.017348707777,0,3,3,0.0883169562174801,0.0112443639052541,0.8137821132441504,0,0.7059169777991443,0.8146767209536376,0.8146767209587794,0.814676720958739,0.8146809416166911,0.8146809416218457,0.8146809416218165,-5926.1931331132755,-5926.1931331132755,-5926.1931331132755,-5926.1931331132755,1,1727.8832965959796,0,1
C1_Mixed_X4_causes_C1_Mixed_X40,0.8845752047618851,0,0.0116274389959804,0.7177583110861155,1,7.959624293008005e-09,1,0.8845752047618851,0,21177.743030806505,21177.51055084264,21177.43723707166,1,3,3,0.0,0.0017582364990075,0.9551431709801934,0,0.0847641122783412,0.1278296835043772,0.1278296808375267,0.1278296808375328,0.1273363527287174,0.1273363500624216,0.1273363500624389,-5727.974393950427,-5727.974393950427,-5727.974393950427,-5727.974393950427,0,1529.664557433132,1,0
C1_Mixed_X40_causes_C1_Mixed_X2,0.7540803623523609,0,0.0005291248321183,0.9130063376934496,1,6.109668326814699e-11,1,0.7540803623523609,0,21169.669980854327,21169.50703989141,21169.48628740191,0,3,3,0.0399969478147816,0.000331199013213,0.8295446238984152,0,0.5837093274332339,0.8591464180171074,0.8591464177323489,0.8591464177322696,0.8591609329273906,0.8591609326426211,0.8591609326425387,-5687.330639326027,-5687.330639326027,-5687.330639326027,-5687.330639326027,1,1489.0208028087334,0,0
85_causes_88,0.0032534887811417,1,0.0,7.624391688906534,1,0.5020813508116577,0,0.0032534887811417,1,8815.33484258482,8817.827697932813,8819.36724878965,1,3,3,0.181150418577725,0.0352792231642989,3.396906841035552e-06,1,1.4842380263748242e-05,0.0002671953233444,0.0002671953233432,0.0002671953233427,0.0002451394801252,0.0002451394801242,0.0002451394801237,-3819.5882772237687,-3819.5882772237687,-3819.5882772237687,-3819.5882772237687,1,1147.3322116761494,0,1
M1_Mixed_X42_causes_M1_Mixed_X7,0.0544209978130649,0,0.1126487262798743,0.4600495477566864,0,0.0,1,0.0544209978130649,0,21180.159193399995,21180.015599056016,21179.972525994985,1,3,2,0.0,1.654290313552678,0.2014484544117051,0,0.2895348513195565,0.1958744124453081,0.1958744109813144,0.1958744109812145,0.1953952763555498,0.1953952748907816,0.1953952748907077,-5837.164269690874,-5837.164269690874,-5837.164269690874,-5837.164269690874,0,1600.4280083952517,1,0
C1_Mixed_X5_causes_C1_Mixed_X41,0.3291510217283244,0,0.009212502131788,0.7242490234373241,1,0.2200237287530216,0,0.3291510217283244,0,21176.924119610856,21176.591704197817,21176.50089881062,1,3,3,0.0,0.0007782768677692,0.0978180672549093,0,0.0143633910906588,0.0808086402595253,0.080808721802994,0.0808087218027804,0.0803483252654834,0.0803484066998426,0.0803484066996244,-6225.88366582749,-6225.88366582749,-6225.88366582749,-6225.88366582749,0,2027.5738293101945,1,0
M1_Mixed_X22_causes_M1_Mixed_X34,0.0,1,0.0,20.838453326345864,1,0.0,1,0.0,1,21156.42111962652,21157.38091017612,21158.49653754796,1,3,2,0.1574123561971947,1.694204876350606,0.0,1,0.002400231521864,4.185597887437628e-07,4.185597887443784e-07,4.185597887463041e-07,3.541939736052246e-07,3.541939736057432e-07,3.541939736074152e-07,-5802.338621095474,-5802.338621095474,-5802.338621095474,-5802.338621095474,1,1765.4574233333642,0,1
