Cause,Effect
ITIH5,CCN3
LPL,SLC22A1
PLAT,CCN3
CA2,RAMP3
SOD3,NR4A3
NR4A3,FHL1
GPM6B,NR4A3
TMOD1,FHL1
MMP2,FHL1
CYFIP2,FHL1
THBS4,FHL1
C1QTNF3,RAMP3
FLT4,RAMP3
STAG3,TNXB
RCAN1,COL11A2
NAV3,AL139393.3
ATP1B2,TUBB2B
TUBB2B,NGFR
CHRNE,LINC01679
MFAP4,RCAN1
NAV3,TMEM119
SPIB,CD79B
MFAP4,HSPB6
TMEM119,MFAP4
FAM107A,CLDN5
FRZB,FAM107A
PPP1R12B,SFN
FNDC5,FXYD6
FNDC5,FMOD
LMOD1,FXYD6
TFCP2L1,SFN
SELL,CD52
LGR6,CHI3L1
LGR6,FRZB
SRPX,SERPINE2
SERPINE2,ALOX15B
SRPX,KCTD12
CEL,SCN3B
CD79A,PTGDS
ITM2A,PTGDS
CD22,CD37
CD79A,PTPRCAP
PTPRCAP,CD37
SNORD3A,H4C3
ALOX15B,LYPD3
CARMN,GJD3
PMEL,CAPN3
DPY19L2P2,AKR1B1
NHLH1,AKR1B1
PTCH2,ABI3BP
LOXL3,MPZ
MPZ,ARHGAP15
SYNPO2,NFASC
APOD,S100B
APOD,JAM2
AOX1,MMP9
LOXL3,MMP9
LOXL3,NFATC1
IGHG1,ARHGAP15
MEG3,CACNA1H
CRMP1,MEG3
SIGLEC15,MMP9
IGHG1,MMP9
APCDD1,LAMP5
AL135999.1,MEG3
SLC24A4,JAM2
