Cause,Effect
GPM6B,LPL
PLAT,CCN3
NR4A3,FHL1
GPM6B,NR4A3
MMP2,FHL1
CYFIP2,FHL1
THBS4,FHL1
C1QTNF3,RAMP3
FLT4,RAMP3
ATP1B2,TUBB2B
TUBB2B,NGFR
CHRNE,LINC01679
MFAP4,RCAN1
NAPSB,SPIB
MFAP4,HSPB6
TMEM119,MFAP4
TMEM158,ACTG2
ACTG2,MYLK
FRZB,FAM107A
PPP1R12B,SFN
LMOD1,FXYD6
ACTG2,LMOD1
SELL,CD52
SRPX,SERPINE2
SRPX,KCTD12
CD79A,PTGDS
CD22,CD37
CD79A,PTPRCAP
PTPRCAP,CD37
SNORD3A,H4C3
ALOX15B,LYPD3
CARMN,GJD3
DPY19L2P2,AKR1B1
PTCH2,ABI3BP
MPZ,ARHGAP15
SYNPO2,NFASC
AOX1,MMP9
MEG3,CACNA1H
CRMP1,MEG3
APCDD1,LAMP5
AL135999.1,MEG3
