gene,mito,n_cells,highly_variable,means,dispersions,dispersions_norm
ECD,False,187,False,2.945730507647219,1.0930995524529397,-1.2459558
PSTK,False,187,False,1.5313223255603523,0.5096750129329464,-0.830412
FRMD4A,False,187,False,3.211888443773392,4.284697040846803,1.6496902
PIPSL,False,187,False,0.3014668824677526,-1.4453434909807108,-1.3225157
CC2D2B,False,187,False,0.2517233139738847,-1.0750877617085242,-0.8639369
ADK,False,187,False,3.4134587450682377,2.645144413716594,-0.032884404
JCAD,False,187,False,2.215762813084642,2.4753720953012834,0.36221087
AL360181.3,False,187,False,1.334983071242666,3.3078071342848836,1.9605492
AGAP9,False,187,False,2.059495855875362,1.7598793506209047,-0.020807235
ITGB1,False,187,False,5.365593785778093,4.966047388725036,0.42518324
VDAC2,False,187,False,4.958675595474008,3.7866560537497134,-0.28713182
NAMPTP1,False,187,False,2.3968653380378617,2.6947337830269946,0.5641563
ZNF37BP,False,187,False,1.8104306582177678,1.6326178121248252,-0.13935444
ANKRD16,False,187,False,2.1449585423967683,0.9483803642476306,-1.0435452
MARCHF5,False,187,False,3.224422402980289,1.5857591611853497,-1.120068
RPL13AP5,False,187,False,4.098500157180696,3.870817544784799,0.3768285
PFKFB3,False,187,False,3.452323068878227,3.234629362692809,0.5720687
AP3M1,False,187,False,3.244325570408581,1.8589949112664745,-0.83966255
ZSWIM8,False,187,False,4.223280525263171,3.1804736261442246,-0.36648074
ABCC2,False,187,False,1.9993983238148365,3.7495983283785015,1.8326643
KCNIP2,False,187,False,1.4670451009296404,3.077724114216893,1.7310559
FAM204A,False,187,False,3.466188850066635,2.213033117625611,-0.47633433
ZNF33B,False,187,False,2.534696692715163,1.8934715336645624,-0.17348967
TMEM254-AS1,False,187,False,0.8623742732158625,0.5701448920706358,-0.038679056
ZMYND11,False,187,False,3.4688576153237016,2.303525435845389,-0.3834675
HNRNPF,False,187,False,5.165793544202175,3.3927136232249766,-1.1062484
ZNF22-AS1,False,187,False,0.7941099770238079,0.007902785517800468,-0.6761165
FFAR4,False,187,False,0.7345592949560552,2.509246781589321,2.1597621
ATAD1,False,187,False,2.906608122429297,1.3010693829679396,-1.0397433
