Cause,Effect,Label
PLAT,CCN3,1
GPM6B,NR4A3,1
MMP2,FHL1,1
CYFIP2,FHL1,1
C1QTNF3,RAMP3,1
FLT4,RAMP3,1
CHRNE,LINC01679,1
MFAP4,RCAN1,1
MFAP4,HSPB6,1
TMEM119,MFAP4,1
FRZB,FAM107A,1
SRPX,KCTD12,1
CD22,CD37,1
PTPRCAP,CD37,1
SNORD3A,H4C3,1
ALOX15B,LYPD3,1
CARMN,GJD3,1
DPY19L2P2,AKR1B1,1
MPZ,ARHGAP15,1
AOX1,MMP9,1
MEG3,CACNA1H,1
AL135999.1,MEG3,1
THBS4,SNORD3A,0
SNORD3A,THBS4,0
ITIH5,CD79A,0
CD79A,ITIH5,0
SYNPO2,DHRS2,0
DHRS2,SYNPO2,0
AL049828.1,TMEM119,0
TMEM119,AL049828.1,0
TFPI2,ALDH1A3,0
ALDH1A3,TFPI2,0
ITM2A,TFPI2,0
TFPI2,ITM2A,0
CHI3L2,TUBB2B,0
TUBB2B,CHI3L2,0
SLC47A1,MEST,0
MEST,SLC47A1,0
SELL,AOX1,0
AOX1,SELL,0
NFASC,AL353807.5,0
AL353807.5,NFASC,0
TFCP2L1,AC138866.1,0
AC138866.1,TFCP2L1,0
