Cause,Effect
CYFIP2,KCNMA1
CCN3,ITIH5
PI15,MMP2
LPL,GPM6B
LPL,SLC22A1
PLAT,CCN3
GPM6B,CCN3
MMP2,PLAT
SOD3,NR4A3
GPM6B,NR4A3
FHL1,TMOD1
CYFIP2,TMOD1
CXCL9,RAMP3
SLC22A1,HPGD
CPZ,MMP2
FHL1,SLC9B2
SLC9B2,FLT4
MMP2,FHL1
MMP2,CXCL14
CYFIP2,FHL1
C1QTNF3,RAMP3
C1QTNF3,THBS4
FLT4,RAMP3
ZNF890P,FLT4
FLT4,TNXB
MYLK4,NAPSA
MYLK4,STAC3
COL11A2,RCAN1
SCARB1,TNXA
NAV3,AL139393.3
SERPINF2,AL139393.3
TUBB2B,LINC01679
TUBB2B,ATP1B2
NGFR,TUBB2B
CRLF1,NXPH4
NAPSB,NAPSA
KRT17,LINC01679
LINC01679,CD79B
CHRNE,LINC01679
MFAP4,RCAN1
TMEM119,NAV3
SPIB,CD79B
CFD,TMEM119
NAPSB,STAC3
NAPSB,CD79B
MFAP4,HSPB6
STAC3,CHRNE
TMEM119,MFAP4
KRT17,CD79B
SERPINF2,NGFR
TMEM158,CTSK
ACTG2,TMEM158
LMOD1,MYLK
CSTA,SFN
CD52,CSTA
ASPRV1,CSTA
FAM107A,CLDN5
FRZB,FAM107A
LMOD1,PPP1R12B
FXYD6,FNDC5
FNDC5,FMOD
SFN,FXYD6
FXYD6,LMOD1
FXYD6,MAP2
CTSK,FMOD
TFCP2L1,SFN
CHI3L2,CHI3L1
LMOD1,ACTG2
CD52,CHI3L1
SELL,AC017104.1
LGR6,CHI3L1
FRZB,LGR6
GULP1,AL353807.5
TAL1,CLDN5
FMOD,AC017104.1
GNLY,PTPRCAP
SERPINE2,SRPX
SERPINE2,ALOX15B
SCN3B,KCTD12
KCTD12,CD37
SRPX,KCTD12
AQP3,LRP4
AQP3,LYPD3
SRPX,AQP3
AQP3,ALOX15B
ITM2A,PTGDS
CD79A,CD22
CD22,CD37
CD22,ARRB2
AP003071.5,ARRB2
PTPRCAP,CD79A
PTPRCAP,CD37
PTPRCAP,GJD3
SCN3B,GJD3
MRPS30-DT,AP003498.1
SNORD3A,H4C3
ALOX15B,LYPD3
MRPS30-DT,LYPD3
CD37,ARRB2
CARMN,SRPX
ARRB2,SNORD3A
CARMN,GJD3
ISLR,ALDH1A3
ECM1,ISLR
ISLR,ABI3BP
AC107294.2,ISLR
ISLR,TIE1
PMEL,CAPN3
CAPN3,MEST
ZFHX2-AS1,CAPN3
PRR4,CAPN3
DPY19L2P2,AKR1B1
AKR1B1,DNAJC22
AKR1B1,NHLH1
ABI3BP,DPY19L2P2
TIE1,PODXL
ALDH1A3,SLC45A3
AC107294.2,MEST
DTX1,PTCH2
TIE1,DTX1
ZFHX2-AS1,PTCH2
ZFHX2-AS1,TIE1
DNAJC22,SLC45A3
ABI3BP,PTCH2
LOXL3,MPZ
MPZ,ARHGAP15
AL049828.1,MPZ
MPZ,S100B
CRMP1,NFASC
NFASC,SYNPO2
AL135999.1,NFASC
S100B,APOD
JAM2,APOD
AOX1,ITIH4
MEG3,ITIH4
JAM2,ITIH4
AOX1,MMP9
MMP9,LOXL3
LOXL3,NFATC1
SNX29P1,ARHGAP15
IGHG1,ARHGAP15
NFATC1,POMC
SYNPO2,MYH11
MEG3,CACNA1H
AL135999.1,SNX29P1
JAM2,CRMP1
SIGLEC15,MMP9
IGHG1,MMP9
LAMP5,JAM2
APCDD1,JAM2
IGHG1,JAM2
AL135999.1,MEG3
JAM2,MEG3
JAM2,SLC24A4
