Cause,Effect
Hour,ICULOS
HR,Temp
Resp,HR
pH,HR
Age,HR
Resp,O2Sat
O2Sat,Chloride
pH,Temp
PTT,Temp
MAP,SBP
Creatinine,SBP
Age,SBP
DBP,MAP
DBP,Age
Lactate,Resp
Lactate,EtCO2
BaseExcess,HCO3
pH,BaseExcess
PaCO2,BaseExcess
BaseExcess,Chloride
Lactate,BaseExcess
BaseExcess,Potassium
PaCO2,HCO3
HCO3,Alkalinephos
HCO3,Creatinine
pH,FiO2
PaCO2,pH
Calcium,pH
Lactate,pH
pH,Phosphate
pH,Hgb
BUN,AST
AST,Alkalinephos
Lactate,AST
Phosphate,AST
Platelets,AST
Calcium,BUN
Creatinine,BUN
BUN,Bilirubin_direct
Phosphate,BUN
BUN,Age
BUN,Unit1
Alkalinephos,Chloride
Unit1,Alkalinephos
HospAdmTime,Alkalinephos
Calcium,Phosphate
Calcium,Bilirubin_total
Calcium,Hgb
Calcium,ICULOS
Creatinine,Chloride
Glucose,Chloride
Phosphate,Chloride
Bilirubin_total,Chloride
Chloride,Gender
Creatinine,Magnesium
Creatinine,Phosphate
Creatinine,Hgb
Creatinine,Age
Bilirubin_direct,Bilirubin_total
Bilirubin_direct,HospAdmTime
Bilirubin_direct,SepsisLabel
Lactate,Glucose
Lactate,Phosphate
Lactate,Platelets
Magnesium,Potassium
Unit1,Magnesium
Phosphate,Potassium
Bilirubin_total,Potassium
Gender,Potassium
Bilirubin_total,Platelets
Bilirubin_total,Age
SepsisLabel,TroponinI
Hct,Hgb
Platelets,Hct
Platelets,Hgb
Platelets,WBC
Platelets,Fibrinogen
SepsisLabel,Fibrinogen
Unit1,Platelets
Unit1,Age
Unit1,ICULOS
