Cause,Effect
URDACT,URXUMS
URXUCR.x,URXCRS
LBXMOPCT,LBXWBCSI
LBXEOPCT,LBXWBCSI
LBDLYMNO,LBXWBCSI
LBDMONO,LBXWBCSI
LBDNENO,LBXWBCSI
LBDEONO,LBXWBCSI
LBXWBCSI,LBDBANO
LBXLYPCT,LBXNEPCT
LBXLYPCT,LBDLYMNO
LBXLYPCT,LBDMONO
LBXMOPCT,LBXNEPCT
LBXMOPCT,LBXBAPCT
LBXMOPCT,LBDLYMNO
LBXMOPCT,LBDMONO
LBXMOPCT,LBDNENO
LBXEOPCT,LBXNEPCT
LBXBAPCT,LBXNEPCT
LBXNEPCT,LBDNENO
LBXEOPCT,LBXBAPCT
LBXEOPCT,LBDEONO
LBXBAPCT,LBDBANO
LBXHA,LBXBAPCT
LBDMONO,LBDLYMNO
LBDLYMNO,LBDBANO
LBDMONO,LBDNENO
LBDMONO,LBDEONO
LBXPLTSI,LBDMONO
PHDSESN,LBDBANO
LBXHGB,LBXRBCSI
LBXHCT,LBXRBCSI
LBXMCVSI,LBXRBCSI
LBXMCHSI,LBXRBCSI
LBXPLTSI,LBXRBCSI
LBXHGB,LBXHCT
LBXMCVSI,LBXHGB
LBXMC,LBXHGB
LBXHGB,LBXRDW
LBXMCVSI,LBXHCT
LBXMCHSI,LBXHCT
LBXMC,LBXHCT
LBXRDW,LBXHCT
LBXMCHSI,LBXMCVSI
LBXMC,LBXMCVSI
LBXMCVSI,LBXRDW
LBXMC,LBXMCHSI
LBXMCHSI,LBXRDW
LBXMC,LBXRDW
LBXHBS,LBXRDW
LBXMPSI,LBXPLTSI
PHDSESN,PHQ040
PHAFSTHR.x,PHDSESN
LBXHA,LBXHBS
