Cause,Effect
LAPTM5,S100A11
C1QA,LAPTM5
C1QC,LAPTM5
LAPTM5,TMSB10
RAP1A,S100A13
RAP1A,TNS1
S100A11,FCER1G
C1QC,S100A11
S100A11,TMSB10
LMOD1,TXNIP
RGS5,CSRP1
CSRP1,LMOD1
CSRP1,S100A10
CSRP1,EPAS1
ACTG2,CSRP1
RGS5,LMOD1
C1QA,RGS5
ACTG2,RGS5
RGS5,TNS1
TMSB10,PPP1R12B
PPP1R12B,ACTG2
FMOD,PPP1CB
TMSB10,LMOD1
ACTG2,LMOD1
SLC40A1,GLUL
FCER1G,C1QB
FCER1G,IGFBP5
C1QB,C1QA
C1QA,TMSB10
C1QA,COL3A1
C1QB,C1QC
C1QB,IGFBP5
SLC40A1,RPS27
COL6A3,MXRA8
JUN,LTBP1
TMSB10,S100A4
TMSB10,IGFBP5
TMSB10,RHOB
TNS1,TMSB10
ACTG2,COL3A1
RHOB,ACTG2
DES,LPP
SYNPO2,DES
DES,MAP1B
DES,DUSP1
CYFIP2,DES
SPARC,DES
DES,PLN
FSTL1,CCDC80
FSTL1,SPARC
RPL35A,RPL34
CD74,GPX1
MBNL1,CARMN
LPP,PALLD
LPP,SORBS2
CPE,LPP
LPP,PLN
CPE,WDR1
WDR1,PLN
SYNPO2,SORBS2
SYNPO2,CPE
SYNPO2,IGFBP7
PDLIM7,SYNPO2
SYNPO2,PLN
SFRP2,EGR1
SORBS2,SPARC
CPE,EDIL3
IGFBP7,CD74
SMOC2,IGFBP7
DUSP1,VCAN
SPARC,VCAN
CYFIP2,MAP1B
SPARC,DUSP1
DUSP1,EGR1
PDLIM7,CARMN
CD74,CSF1R
CSF1R,HLA-DRB1
CD74,CD14
EGR1,CD14
CD74,HLA-A
CD74,HLA-DRB5
CD74,HLA-DQB1
CD74,HLA-DRB1
MARCKS,CD74
CD74,HLA-DQA1
CD74,AIF1
EGR1,PLN
HLA-DRB1,HLA-DRB5
MARCKS,HLA-DRB5
HLA-DQA1,HLA-DRB1
PNRC1,CDKN1A
ENSG00000112096,CDKN1A
HLA-DMA,HLA-DRA
HLA-DMA,HLA-DPB1
HLA-B,HLA-E
HLA-DPB1,HLA-E
HLA-B,HLA-C
HLA-C,TAPBP
HLA-DPA1,HLA-B
MSN,HLA-B
HLA-B,TPM2
HLA-DRA,HLA-DPA1
HLA-DRA,HLA-DPB1
FLNA,HLA-DRA
HLA-DRA,CTSB
COL1A2,CCN2
HLA-DPA1,HLA-DPB1
HLA-DPA1,CTSB
RPS18,FHL1
RPS18,RPL39
SNHG5,CLU
BGN,AEBP1
CAV1,PTGDS
PCOLCE,PTGDS
FTH1,AQP1
FLNA,TMSB4X
FLNA,RBPMS
FLNA,ALDH1B1
TPM2,FLNA
MSN,PGK1
ALDH1B1,FHL1
TPM2,FHL1
GSN,CLU
TPM2,ALDH1B1
TPM2,PTGDS
NEAT1,MALAT1
IFITM3,MALAT1
SERPINH1,IFITM3
MCAM,CTSD
PSAP,CTSD
IFITM3,IFITM2
ACTA2,ILK
ACTA2,MCAM
MCAM,SNCG
MCAM,YBX3
MCAM,A2M
MCAM,LUM
ACTA2,C11orf96
C11orf96,YBX3
C11orf96,A2M
ACTA2,SVIL
VCL,SVIL
ACTA2,VCL
ACTA2,ADIRF
ACTA2,C12orf75
DCN,ACTA2
GDI2,DAZAP2
PSAP,ADIRF
PSAP,LYZ
TUBA1B,ADIRF
PHB2,ADIRF
DCN,MGP
LRP1,IGFBP6
IGFBP6,DCN
LDHB,LRP1
OS9,C12orf75
C1S,DCN
COL4A2,LTBP2
COL4A2,CRIP2
COL4A2,MFGE8
FOS,MMP2
PSMC5,FOS
FOS,COL1A1
IGHG3,IGHG4
NDUFB10,IGHG4
IFI27,MYH11
CTSH,LGMN
LGMN,B2M
IGHA1,IGHG1
IGHA1,TPSB2
MFGE8,RPS29
RPLP1,HSP90AA1
MYH11,NPC2
MYH11,RNASE1
MYH11,ACTN1
IGHG3,IGHG1
IGHG3,TPSB2
NR2F2,CAVIN1
RPLP1,CCL2
CTSH,SERPINF1
MYH11,PPIB
SERPINF1,MMP2
MYH11,CYBA
AOC3,CYBA
MT2A,CCL2
IGFBP4,MT2A
MYH11,TGFB1I1
TGFB1I1,CAVIN1
MYH11,AOC3
MYH11,MFAP4
COL1A1,MYH11
IGFBP4,CCL2
EIF5A,IGFBP4
CST3,GRN
FXYD5,GRN
TYMP,GRN
ITGB2,GRN
ATP5F1A,RPL28
FTL,DSTN
CNN1,DSTN
PPP1R14A,DSTN
YWHAB,TYMP
CNN1,TGM2
FTL,CST3
CCN5,CNN1
C3,CFD
CFD,FBLN1
CNN2,FBLN1
CNN2,COL6A2
RABAC1,RPL28
APOE,PLD3
C3,FBLN1
FXYD5,FTL
FTL,TYROBP
APOE,FTL
FTL,ITGB2
FXYD5,TYMP
CNN1,RPL28
APOE,RPL28
PPP1R14A,HSPB6
APOE,CNN1
SMTN,CNN1
APOE,FCGRT
ITGB2,TYROBP
PPP1R14A,FBLN1
PPP1R14A,SMTN
PPP1R14A,COL6A2
ND4,FBLN1
COL6A2,LGALS1
LGALS1,ND3
ND2,ND1
COX1,ND1
COX2,ND1
ATP6,ND1
ND4,ND1
ND2,COX2
ND2,COX3
ND2,ND3
ND2,CYTB
COX2,COX1
COX2,COX3
ND3,COX2
COX2,CYTB
ATP6,COX3
ATP6,ND3
COX3,ND3
ND4,COX3
COX3,CYTB
ND4,ND3
ND4,CYTB
