Cause,Effect
S100A11,LAPTM5
C1QA,LAPTM5
TMSB10,LAPTM5
S100A11,FCER1G
S100A11,TMSB10
RGS5,CFH
RGS5,CSRP1
LMOD1,CSRP1
S100A10,CSRP1
ACTG2,CSRP1
RGS5,LMOD1
C1QA,RGS5
ACTG2,RGS5
RGS5,TNS1
PPP1R12B,ACTG2
LMOD1,TMSB10
ACTG2,LMOD1
FCER1G,C1QB
C1QB,C1QA
C1QA,TMSB10
C1QA,COL3A1
C1QB,C1QC
C1QB,IGFBP5
SH3BGRL3,TMSB10
IGFBP5,TMSB10
TNS1,TMSB10
ACTG2,COL3A1
RHOB,ACTG2
DES,SYNPO2
DES,MAP1B
DES,DUSP1
DES,CYFIP2
DES,SPARC
DES,PLN
RPL35A,RPL34
RPL35A,RPL37
SFRP2,CCDC80
GPX1,CD74
MBNL1,CARMN
SORBS2,LPP
CPE,LPP
WDR1,CPE
WDR1,CARMN
WDR1,PLN
SYNPO2,SORBS2
SYNPO2,CPE
SYNPO2,IGFBP7
SYNPO2,PLN
SFRP2,EGR1
SORBS2,SPARC
CPE,EDIL3
IGFBP7,CD74
RPL34,RPL37
VCAN,SPARC
CYFIP2,MAP1B
DUSP1,SPARC
DUSP1,EGR1
CYFIP2,SPARC
CARMN,PDLIM7
CSF1R,CD74
CD14,CD74
CD14,EGR1
HLA-DRB1,CD14
CD74,HLA-DRB5
CD74,HLA-DQB1
CD74,HLA-DQA1
CD74,AIF1
PLN,EGR1
HLA-DRB1,HLA-DRB5
HLA-DRB5,MARCKS
HLA-DQB1,AIF1
HLA-DMA,HLA-DPB1
HLA-B,HLA-E
HLA-C,HLA-B
HLA-C,TAPBP
HLA-B,TPM2
HLA-DRA,HLA-DPA1
HLA-DRA,HLA-DPB1
FLNA,HLA-DRA
HLA-DRA,CTSB
COL1A2,CCN2
RPS18,RPL39
COL1A2,PCOLCE
CALD1,FHL1
AEBP1,BGN
FTH1,AQP1
FLNA,TMSB4X
FLNA,RBPMS
FLNA,ALDH1B1
FLNA,TPM2
GSN,CLU
TPM2,SDC2
TPM2,ALDH1B1
NEAT1,MALAT1
IFITM3,MALAT1
A2M,NEAT1
IFITM3,IFITM2
ILK,ACTA2
ACTA2,MCAM
ACTA2,C11orf96
C11orf96,YBX3
C11orf96,A2M
SVIL,ACTA2
ACTA2,VCL
ACTA2,C12orf75
ACTA2,DCN
DCN,MGP
IGFBP6,LRP1
IGFBP6,DCN
A2M,LUM
COL4A2,LTBP2
COL4A2,CRIP2
COL4A2,MFGE8
FOS,MMP2
FOS,COL1A1
IGHG3,IGHG4
IFI27,MYH11
CTSH,LGMN
LGMN,B2M
MFGE8,RPS29
RPS29,RPS15A
RPLP1,HSP90AA1
MYH11,NPC2
MYH11,RNASE1
MYH11,ACTN1
NR2F2,CAVIN1
RPLP1,CCL2
CTSH,SERPINF1
MYH11,PPIB
SERPINF1,MMP2
AOC3,CYBA
MT2A,CCL2
IGFBP4,MT2A
SERPINF1,MT1E
MYH11,TGFB1I1
MYH11,AOC3
MYH11,MFAP4
COL1A1,MYH11
IGFBP4,CCL2
CST3,GRN
FXYD5,GRN
FCGRT,GRN
TYMP,GRN
ITGB2,GRN
FTL,DSTN
CNN1,DSTN
PPP1R14A,DSTN
CNN1,TGM2
FTL,CST3
CCN5,CNN1
C3,CFD
CFD,FBLN1
RABAC1,RPL28
PLD3,FTL
APOE,PLD3
ZFP36,JUNB
C3,FBLN1
FTL,TYROBP
APOE,FTL
FTL,ITGB2
CNN1,RPL28
APOE,RPL28
PPP1R14A,HSPB6
APOE,CNN1
SMTN,CNN1
FCGRT,APOE
ITGB2,TYROBP
PPP1R14A,FBLN1
PPP1R14A,SMTN
PPP1R14A,COL6A2
ND4,FBLN1
LGALS1,ND3
ND2,ND1
COX1,ND1
COX2,ND1
ATP6,ND1
ND4,ND1
ATP6,ND2
ND3,ND2
ND2,CYTB
COX2,COX1
COX2,COX3
COX2,CYTB
ATP6,ND4
COX3,CYTB
ND3,ND4
ND4,ND5
ND4,CYTB
