,gene_ids,feature_types,mito,n_cells,highly_variable,means,dispersions,dispersions_norm
ENO1,ENSG00000074800,Gene Expression,False,898,False,1.4021864833177073,0.3069416947254971,-0.37855783
PARK7,ENSG00000116288,Gene Expression,False,783,False,1.0343646378346425,0.1639456470586128,-0.64785045
CLIC4,ENSG00000169504,Gene Expression,False,884,False,1.4059278679475282,0.3132643142797374,-0.36259246
LAPTM5,ENSG00000162511,Gene Expression,False,810,True,1.2899643371277107,0.9725009178355207,2.3998272
HMGN2,ENSG00000198830,Gene Expression,False,914,False,1.399873676196091,0.20761602257166478,-0.62936723
RPL22,ENSG00000116251,Gene Expression,False,953,False,1.9678784837840408,0.34278153116810123,-0.6949524
CAPZB,ENSG00000077549,Gene Expression,False,805,False,1.0755475846916447,0.09675944449971023,-0.9864384
CNN3,ENSG00000117519,Gene Expression,False,744,True,0.9887354143237177,0.2899640225723234,0.57958466
PSMB4,ENSG00000159377,Gene Expression,False,762,True,0.9834064305640616,0.3028915791893181,0.69007033
RAP1A,ENSG00000116473,Gene Expression,False,706,True,0.9012358732227903,0.29548439874011156,0.62676466
S100A11,ENSG00000163191,Gene Expression,False,924,True,1.626682650886479,0.821320158906481,0.21072556
MGST3,ENSG00000143198,Gene Expression,False,781,False,0.9855680895112747,0.12404462130303362,-0.83845
CFH,ENSG00000000971,Gene Expression,False,832,True,1.3178683039743768,0.6682347732645937,1.1779039
TXNIP,ENSG00000265972,Gene Expression,False,837,True,1.3036613549475784,0.5016118595690315,0.50875145
CSRP1,ENSG00000159176,Gene Expression,False,960,True,3.171296802799055,1.5963853322467771,0.028838515
RGS5-1,ENSG00000143248,Gene Expression,False,960,True,2.7960219612654122,1.7868394699489702,1.4730468
PRRX1,ENSG00000116132,Gene Expression,False,824,False,1.1246223150677848,0.2115500527089805,-0.4079458
PPP1R12B,ENSG00000077157,Gene Expression,False,810,True,1.2243003102021612,0.6309735959168268,1.0282642
PRELP,ENSG00000188783,Gene Expression,False,902,True,1.4676689490094823,0.42602712345817656,-0.07785266
FMOD,ENSG00000122176,Gene Expression,False,774,True,1.0293338044308493,0.25400494843977833,-0.1939924
NENF,ENSG00000117691,Gene Expression,False,894,False,1.3557078146062849,0.19693440322187475,-0.7148238
LMOD1,ENSG00000163431,Gene Expression,False,932,True,1.8818648381515364,0.8899534429769763,0.13848485
HNRNPU,ENSG00000153187,Gene Expression,False,734,False,0.9195603141551099,0.1285190847790279,-0.80020887
RPL11,ENSG00000142676,Gene Expression,False,961,False,2.9493032607170457,0.5768626771414522,-0.5182342
SSR2,ENSG00000163479,Gene Expression,False,777,False,1.0180162741409788,0.10193511969579859,-0.96035534
GLUL,ENSG00000135821,Gene Expression,False,800,True,1.2034779061404646,0.6752596644881451,1.2061156
TAGLN2,ENSG00000158710,Gene Expression,False,853,False,1.2481019336104828,0.28333219794986475,-0.3678529
PEA15,ENSG00000162734,Gene Expression,False,722,True,0.9267052656168546,0.23271579133387266,0.09031109
NBL1,ENSG00000158747,Gene Expression,False,939,False,1.7419120599824336,0.37204973750499637,-0.52498376
RHOC,ENSG00000155366,Gene Expression,False,885,False,1.3234875144412892,0.22503275836909398,-0.60198164
FCER1G,ENSG00000158869,Gene Expression,False,707,True,0.9902953424866962,0.6339708907498176,3.5196486
RPS8,ENSG00000142937,Gene Expression,False,961,False,2.7793256537837543,0.5698876779796631,-0.44686085
C1QA,ENSG00000173372,Gene Expression,False,950,True,2.203882017014927,1.4270502300039294,0.09044694
C1QC,ENSG00000159189,Gene Expression,False,781,True,1.1808652393849979,0.6187081714382933,1.6439464
C1QB,ENSG00000173369,Gene Expression,False,901,True,1.7497077797349974,1.3276388414849658,0.69918853
RPS27,ENSG00000177954,Gene Expression,False,961,True,4.083204003452707,1.5208236305846423,0.70710677
MXRA8,ENSG00000162576,Gene Expression,False,885,True,1.5180677181247515,0.5782029401230881,0.30640978
SH3BGRL3,ENSG00000142669,Gene Expression,False,838,True,1.3127870807702584,0.6893848042332404,1.2628418
TINAGL1,ENSG00000142910,Gene Expression,False,760,True,0.9976553077258768,0.2629561075509155,0.34876075
H3-3A,ENSG00000163041,Gene Expression,False,861,False,1.251945543472931,0.24518407601084088,-0.52105457
ARF1,ENSG00000143761,Gene Expression,False,730,True,0.9365266561564365,0.21015292474399944,-0.10252306
YBX1,ENSG00000065978,Gene Expression,False,800,False,1.0921711050974945,0.13667680198526022,-0.785273
JUN,ENSG00000177606,Gene Expression,False,786,True,1.0479194028330263,0.2729950330546826,-0.098291
GAS5,ENSG00000234741,Gene Expression,False,836,False,1.1596333119587587,0.18952149325541404,-0.51895976
NDUFS5,ENSG00000168653,Gene Expression,False,822,False,1.1123975127230772,0.08112235995623056,-1.0652422
PRDX1,ENSG00000117450,Gene Expression,False,768,True,1.0610889155405197,0.2859724756116255,-0.032890577
GUK1,ENSG00000143774,Gene Expression,False,917,False,1.5052428498431005,0.2690469851657111,-0.4742466
SERBP1,ENSG00000142864,Gene Expression,False,717,False,0.8865506654804299,0.15103867763044485,-0.6077446
CAP1,ENSG00000131236,Gene Expression,False,738,False,0.9582464078456536,0.18351594233436014,-0.33017674
SDF4,ENSG00000078808,Gene Expression,False,705,False,0.8636522173354824,0.13086481366342845,-0.780161
RPL5,ENSG00000122406,Gene Expression,False,958,False,2.2653043068267014,0.367713797557126,-0.6522098
S100A10,ENSG00000197747,Gene Expression,False,756,True,1.0909261301702524,0.46537696802051387,0.87122667
CSDE1,ENSG00000009307,Gene Expression,False,823,False,1.2422811650276993,0.25650400678494356,-0.47559407
LMNA,ENSG00000160789,Gene Expression,False,918,False,1.5258917652213073,0.3278144620314254,-0.32585156
HSPG2,ENSG00000142798,Gene Expression,False,933,False,1.7034223557038708,0.4991809161864859,-0.35360157
CDC42,ENSG00000070831,Gene Expression,False,787,True,1.0873639008669382,0.2516891846491737,-0.2056628
S100A6,ENSG00000197956,Gene Expression,False,961,False,3.317665146607715,0.7649952972143857,-0.48991606
S100A4,ENSG00000196154,Gene Expression,False,916,True,1.742416522352392,0.9120777845218725,0.16682759
S100A13,ENSG00000189171,Gene Expression,False,803,True,1.108140904695744,0.26362658156175856,-0.14550374
RPS7,ENSG00000171863,Gene Expression,False,956,False,1.9595301842316197,0.362889843426525,-0.6714866
HADHA,ENSG00000084754,Gene Expression,False,747,True,0.955216192835931,0.22419893283476308,0.017521527
LTBP1,ENSG00000049323,Gene Expression,False,780,True,1.109237982133535,0.5122169565254946,1.107279
PPP1CB,ENSG00000213639,Gene Expression,False,739,True,0.9472164121080716,0.249113341240918,0.2304532
OST4,ENSG00000228474,Gene Expression,False,901,False,1.3722072011566488,0.08868640180733536,-0.929679
EMILIN1,ENSG00000138080,Gene Expression,False,843,True,1.2680261857674706,0.5721722336864566,0.79211974
EFEMP1,ENSG00000115380,Gene Expression,False,766,True,1.020557877207885,0.3285621405698523,0.18174201
RTN4,ENSG00000115310,Gene Expression,False,750,False,0.9586511593403989,0.15318648057810083,-0.5893883
ZFP36L2,ENSG00000152518,Gene Expression,False,831,True,1.2310551157167757,0.3861216131974876,0.04494621
CALM2,ENSG00000143933,Gene Expression,False,932,False,1.6495264664963518,0.24674866145007066,-0.7958152
EPAS1,ENSG00000116016,Gene Expression,False,942,True,1.8336399926360831,0.5849597691889223,-0.25223204
TMSB10,ENSG00000034510,Gene Expression,False,961,True,3.115513518618459,1.530157208152563,1.1807517
SPTBN1,ENSG00000115306,Gene Expression,False,764,True,1.0331818391615344,0.3342311990479024,0.2103115
RPL31,ENSG00000071082,Gene Expression,False,961,False,2.584011719964952,0.47353314000181335,-0.5662354
LAPTM4A,ENSG00000068697,Gene Expression,False,886,False,1.342497550094655,0.2716726883404078,-0.4146771
CRIM1,ENSG00000150938,Gene Expression,False,717,True,0.9615178093679453,0.4394237874629824,1.8569466
COX5B,ENSG00000135940,Gene Expression,False,888,False,1.3649387441079357,0.20840498409363603,-0.6687583
IGFBP5,ENSG00000115461,Gene Expression,False,958,True,2.6044164729920696,1.2116963293129073,0.7006564
RPL37A,ENSG00000197756,Gene Expression,False,961,False,3.1887874125066795,0.6392142315481473,-0.7078482
EEF1B2,ENSG00000114942,Gene Expression,False,927,False,1.590088309869817,0.2806188009637452,-0.73648113
SEPTIN2,ENSG00000168385,Gene Expression,False,733,False,0.9161098471746755,0.08357863735264477,-1.1842936
COL3A1,ENSG00000168542,Gene Expression,False,958,True,2.610126435764506,2.327964889227958,3.497019
SLC40A1,ENSG00000138449,Gene Expression,False,785,True,1.192437516554907,0.6335924058047593,1.0387813
MZT2B,ENSG00000152082,Gene Expression,False,913,False,1.4647569523836808,0.2186626991182969,-0.60147303
ACTR2,ENSG00000138071,Gene Expression,False,765,False,1.0137886466879589,0.1895872493971397,-0.51862836
NCL,ENSG00000115053,Gene Expression,False,836,False,1.1495320421404962,0.23912542820132732,-0.26897845
COPS9,ENSG00000172428,Gene Expression,False,713,False,0.8885475991193265,0.18956332518485686,-0.27849263
RHOB,ENSG00000143878,Gene Expression,False,859,True,1.3664440534128603,0.55036549645754,0.23611684
PTMA,ENSG00000187514,Gene Expression,False,961,False,2.6421888872357377,0.5686405743240149,-0.44965845
CTDSP1,ENSG00000144579,Gene Expression,False,724,False,0.9104585472112723,0.16395479661700424,-0.4973566
FN1,ENSG00000115414,Gene Expression,False,961,True,2.8032459812785024,1.482416952507368,0.97205305
RPS27A,ENSG00000143947,Gene Expression,False,961,False,2.7290146907687474,0.5079811701141541,-0.5857352
ACTG2,ENSG00000163017,Gene Expression,False,943,True,2.4599996692048847,2.0191545103793063,2.0864778
IGKC,ENSG00000211592,Gene Expression,False,961,True,3.781802142108215,5.50238664460408,1.7514908
