Cause,Effect,Label
C1QA,LAPTM5,1
S100A11,FCER1G,1
RGS5,CSRP1,1
ACTG2,CSRP1,1
RGS5,LMOD1,1
ACTG2,RGS5,1
RGS5,TNS1,1
ACTG2,LMOD1,1
C1QB,C1QC,1
DES,MAP1B,1
DES,PLN,1
RPL35A,RPL34,1
SYNPO2,SORBS2,1
SYNPO2,CPE,1
SYNPO2,IGFBP7,1
SFRP2,EGR1,1
CPE,EDIL3,1
CYFIP2,MAP1B,1
DUSP1,EGR1,1
CD74,HLA-DRB5,1
CD74,HLA-DQB1,1
CD74,HLA-DQA1,1
CD74,AIF1,1
HLA-DRB1,HLA-DRB5,1
HLA-B,HLA-E,1
HLA-C,TAPBP,1
HLA-DRA,HLA-DPA1,1
HLA-DRA,HLA-DPB1,1
FLNA,HLA-DRA,1
HLA-DRA,CTSB,1
COL1A2,CCN2,1
FTH1,AQP1,1
FLNA,TMSB4X,1
FLNA,RBPMS,1
TPM2,ALDH1B1,1
ACTA2,MCAM,1
ACTA2,C11orf96,1
C11orf96,YBX3,1
C11orf96,A2M,1
ACTA2,VCL,1
ACTA2,C12orf75,1
DCN,MGP,1
MFGE8,RPS29,1
RPLP1,HSP90AA1,1
MYH11,NPC2,1
MYH11,RNASE1,1
MYH11,ACTN1,1
RPLP1,CCL2,1
MYH11,PPIB,1
SERPINF1,MMP2,1
IGFBP4,MT2A,1
MYH11,TGFB1I1,1
MYH11,AOC3,1
MYH11,MFAP4,1
COL1A1,MYH11,1
IGFBP4,CCL2,1
FTL,DSTN,1
CNN1,DSTN,1
CNN1,TGM2,1
FTL,CST3,1
APOE,PLD3,1
FTL,TYROBP,1
FTL,ITGB2,1
CNN1,RPL28,1
APOE,RPL28,1
APOE,CNN1,1
PPP1R14A,SMTN,1
PPP1R14A,COL6A2,1
COX2,ND1,1
ND4,ND1,1
COX2,COX1,1
COX2,COX3,1
COX2,CYTB,1
COX3,CYTB,1
ND4,CYTB,1
