Cause,Effect
LAPTM5,S100A11
C1QA,LAPTM5
TMSB10,LAPTM5
TNS1,CNN3
GLUL,PSMB4
PSMB4,CDC42
TNS1,RAP1A
S100A11,FCER1G
TMSB10,S100A11
IGFBP5,S100A11
CFH,TXNIP
RGS5,CFH
MXRA8,CFH
EFEMP1,CFH
CFH,CYBRD1
RPS27,TXNIP
ZFP36L2,TXNIP
TMSB10,TXNIP
RGS5,CSRP1
CSRP1,LMOD1
RPS27,CSRP1
CSRP1,S100A10
EMILIN1,CSRP1
CSRP1,ZFP36L2
CSRP1,EPAS1
COL3A1,CSRP1
ACTG2,CSRP1
RGS5,PPP1R12B
RGS5,LMOD1
RGS5,C1QA
RGS5,SH3BGRL3
RGS5,EPAS1
FN1,RGS5
ACTG2,RGS5
RGS5,IGKC
RGS5,TNS1
ACTG2,PPP1R12B
TMSB10,LMOD1
ACTG2,LMOD1
MXRA8,GLUL
GLUL,EPAS1
C1QB,FCER1G
C1QA,C1QC
C1QA,C1QB
RPS27,C1QA
TMSB10,C1QA
COL3A1,C1QA
C1QB,C1QC
RPS27,C1QB
SH3BGRL3,C1QB
IGFBP5,C1QB
C1QB,IGKC
RPS27,S100A10
EMILIN1,RPS27
FN1,RPS27
RPS27,TNS1
S100A4,MXRA8
COL3A1,MXRA8
S100A4,SH3BGRL3
TMSB10,SH3BGRL3
IGFBP5,PRDX1
TMSB10,S100A10
TMSB10,S100A4
FN1,S100A4
ACTG2,S100A4
TMSB10,S100A13
TMSB10,LTBP1
FN1,LTBP1
EPAS1,PPP1CB
IGKC,PPP1CB
EMILIN1,COL3A1
EPAS1,IGFBP5
TMSB10,IGFBP5
TMSB10,RHOB
TMSB10,TNS1
FN1,CRIM1
COL3A1,IGFBP5
FN1,COL3A1
COL3A1,ACTG2
COL3A1,TNS1
COL6A3,COL3A1
ACTG2,RHOB
IGKC,RHOB
FN1,IGKC
DES,LPP
DES,SYNPO2
DES,VCAN
DES,MAP1B
DES,CYFIP2
DES,CARMN
DES,PLN
SFRP2,LIMS2
RPL37,LIMS2
CCDC80,FSTL1
SPARC,FSTL1
RPL34,NDUFB4
SPARC,NDUFB4
RPL35A,RPL34
RPL37,RPL35A
RPL35A,CD14
SPARC,RPL35A
C7,APOD
EDIL3,APOD
SFRP2,CCDC80
CCDC80,C7
HLA-A,CCDC80
SYNPO2,GPX1
RPL34,GPX1
SPARC,GPX1
CD74,GPX1
GPX1,HLA-DRB1
IGFBP7,MBNL1
LPP,PALLD
SORBS2,LPP
LPP,CPE
LPP,IGFBP7
PLN,LPP
LPP,PNRC1
SORBS2,WDR1
CPE,WDR1
PLN,WDR1
SYNPO2,SORBS2
SYNPO2,CPE
SYNPO2,IGFBP7
SYNPO2,PDLIM7
PLN,SYNPO2
SFRP2,IGFBP7
SFRP2,C7
SFRP2,VCAN
SFRP2,CARMN
SFRP2,EGR1
SFRP2,PLN
SPARC,SORBS2
CPE,EDIL3
IGFBP7,MAP1B
IGFBP7,SLIT3
CD74,IGFBP7
IGFBP7,SMOC2
RPL37,RPL34
C7,RPL37
C7,EDIL3
SPARC,C7
EGR1,C7
CDKN1A,C7
DUSP1,VCAN
SPARC,VCAN
EDIL3,RPL37
CD74,EDIL3
CYFIP2,MAP1B
EGR1,GPX3
DUSP1,EGR1
CARMN,PDLIM7
CD74,CSF1R
HLA-DRB1,CSF1R
SPARC,SLIT3
CD74,CD14
HLA-DRB1,CD14
SPARC,SMOC2
EGR1,CD74
CD74,HLA-A
CD74,HLA-DRB5
CD74,HLA-DQB1
CD74,HLA-DRB1
CD74,MARCKS
CD74,HLA-DQA1
CD74,AIF1
EGR1,PLN
EGR1,CDKN1A
HLA-DRB1,HLA-DRB5
HLA-DRB1,HLA-DQB1
HLA-DRB1,HLA-DQA1
CDKN1A,PNRC1
ENSG00000112096,PNRC1
CDKN1A,ENSG00000112096
HLA-DRA,HLA-DMA
HLA-DPB1,HLA-DMA
HLA-C,HLA-E
HLA-B,HLA-E
AEBP1,HLA-E
TMSB4X,HLA-E
FHL1,HLA-E
HLA-E,LY6E
HLA-B,HLA-C
HLA-C,TAPBP
HLA-C,AEBP1
TMSB4X,HLA-C
HLA-C,TIMP1
HLA-B,HLA-DPA1
HLA-B,AQP1
TMSB4X,HLA-B
HLA-B,MSN
HLA-B,LY6E
TPM2,HLA-B
HLA-B,FTH1
HLA-DRA,HLA-DPA1
HLA-DRA,HLA-DPB1
FLNA,HLA-DRA
HLA-DRA,CTSB
HLA-DRA,FTH1
COL1A2,CCN2
AQP1,CCN2
BGN,CCN2
TPM2,CCN2
CCN2,PTGDS
FTH1,CCN2
HLA-DPA1,HLA-DPB1
HLA-DPA1,CTSB
CALD1,RPS18
FHL1,RPS18
RPL39,RPS18
RPS18,TNC
RPL39,TAPBP
BGN,DST
CLU,DST
CALD1,NDUFA4
AEBP1,NDUFA4
FLNA,NDUFA4
TNC,NDUFA4
AEBP1,COL1A2
COL1A2,PCOLCE
FLNA,COL1A2
BGN,COL1A2
CLU,COL1A2
COL1A2,LY6E
COL1A2,PTGDS
GPNMB,BRI3
FHL1,CALD1
TPM2,CALD1
CTSB,GPNMB
PTGDS,GPNMB
FTH1,GPNMB
RARRES2,PTGDS
AEBP1,PCOLCE
TMSB4X,AEBP1
FLNA,AEBP1
RPL39,AEBP1
AEBP1,BGN
AEBP1,PLEC
GSN,AEBP1
AEBP1,FTH1
PTGDS,CAV1
FTH1,CAV1
PCOLCE,PTGDS
FTH1,AQP1
FLNA,TMSB4X
SH3BGRL,FHL1
PTGDS,SH3BGRL
TPM2,TIMP1
FTH1,TIMP1
RPL39,FLNA
CLU,FLNA
FLNA,RBPMS
FLNA,TPM2
FHL1,TNC
FHL1,ALDH1B1
TPM2,FHL1
BGN,PGK1
CLU,TNC
CLU,FTH1
TPM2,SDC2
GSN,CTSB
CTSB,FTH1
TPM2,PLEC
TPM2,ALDH1B1
FTH1,ALDH1B1
TPM2,PTGDS
MALAT1,NEAT1
MALAT1,NNMT
CTSD,MALAT1
MALAT1,IFITM3
VWF,MALAT1
NNMT,NEAT1
LUM,NEAT1
DKK3,PRSS23
PRSS23,ADIRF
MGP,PRSS23
LDHA,NNMT
IFITM3,SERPINH1
CTSD,POLR2L
CTSD,NNMT
NNMT,IFITM3
NNMT,IFITM2
NNMT,C11orf96
NNMT,C1S
TSC22D1,NNMT
CXCL12,ATP5MG
MCAM,CTSD
CTSD,PSAP
ADIRF,CTSD
CTSD,LYZ
CTSD,LRP1
CTSD,LUM
DCN,CTSD
LRP1,CTSF
ADIRF,CD44
IFITM2,IFITM3
IFITM3,C11orf96
ACTA2,ILK
ACTA2,IFITM2
VWF,IFITM2
ACTA2,MCAM
ADIRF,MCAM
ACTA2,C11orf96
C11orf96,YBX3
ITGA5,C11orf96
C11orf96,BTG1
C11orf96,A2M
C12orf75,C11orf96
CCDC3,DKK3
CCDC3,CXCL12
DCN,CCDC3
TSC22D1,CCDC3
ACTA2,SVIL
ACTA2,VCL
ACTA2,PLAC9
ACTA2,SNCG
ACTA2,ADIRF
ACTA2,A2M
ACTA2,C12orf75
ACTA2,DCN
ITGA5,CXCL12
ADIRF,PSAP
PSAP,LYZ
ADIRF,SNCG
ITGA5,SNCG
ADIRF,LYZ
ADIRF,TUBA1B
VWF,ADIRF
MGP,C1S
DCN,MGP
VWF,MGP
DCN,IGFBP6
A2M,BTG1
DCN,LRP1
A2M,LUM
DCN,A2M
C12orf75,VWF
DCN,C1S
DCN,LUM
COL4A2,COL4A1
LTBP2,COL4A2
CRIP2,COL4A2
COL4A2,NR2F2
MFGE8,COL4A2
TGFB1I1,COL4A2
COL1A1,COL4A2
COL4A1,ACTN1
CAVIN1,COL4A1
FOS,KCTD12
FOS,IGHG4
MFGE8,FOS
FOS,IGFBP4
FOS,PSMC5
COL1A1,FOS
LTBP2,LGALS3
LTBP2,PPIB
LTBP2,MYH11
LTBP2,SERPINF1
LTBP2,COL1A1
IGHG1,IGHG4
IGHG4,IGHG3
IFI27,CRIP2
MYH11,IFI27
LGMN,RNASE1
B2M,LGMN
LGMN,MT1E
IGHA1,MYH11
RPLP1,RPS29
MFGE8,RPS29
RPS15A,RPS29
CAVIN1,RPS29
RNASE1,CRIP2
MFGE8,CRIP2
CAVIN1,CRIP2
RPLP1,HSP90AA1
CCL2,HSP90AA1
B2M,NPC2
MYH11,NPC2
B2M,RNASE1
PPIB,RNASE1
CYBA,RNASE1
TPSB2,RNASE1
MYH11,RNASE1
CTSH,LGALS3
CAVIN1,LGALS3
MYH11,ACTN1
IGHG1,IGHG3
IGHG1,B2M
B2M,RPLP1
RPLP1,RPS15A
TPSB2,RPLP1
RPLP1,CCL2
B2M,CTSH
SERPINF1,CTSH
MYH11,B2M
COL1A1,B2M
MFGE8,RPS15A
MFGE8,C1QTNF1
TPSB2,PPIB
MYH11,PPIB
RPS15A,CYBA
CAVIN1,RPS15A
COL1A1,RPS15A
IGFBP4,MMP2
SERPINF1,MMP2
CAVIN1,MMP2
COL1A1,MMP2
MYH11,CYBA
MT1E,MT2A
MYH11,MT2A
CCL2,MT2A
IGFBP4,MT2A
MT2A,ARHGDIA
MT1E,CCL2
MYH11,TGFB1I1
CAVIN1,TGFB1I1
TPSB2,CCL2
TPSB2,COL1A1
MYH11,AOC3
MYH11,IGFBP4
MYH11,SERPINF1
MYH11,MFAP4
MYH11,DYNLL2
CAVIN1,MYH11
MYH11,SEPTIN9
COL1A1,MYH11
IGFBP4,CCL2
CCL2,C1QTNF1
IGFBP4,EIF5A
COL1A1,IGFBP4
COL1A1,SERPINF1
GRN,CST3
FTL,GRN
GRN,FCGRT
TYROBP,GRN
GRN,TYMP
COL6A2,MYL12A
DSTN,TGM2
C3,DSTN
FTL,DSTN
DSTN,RPL28
CNN1,DSTN
DSTN,PPP1R14A
DSTN,SMTN
TGM2,CST3
TGM2,CCN5
RPL28,TGM2
CNN1,TGM2
NOTCH3,TGM2
FTL,CST3
COL6A2,CST3
PLTP,CFD
PLTP,FBLN1
HSPB6,CCN5
CNN1,CCN5
CCN5,TYROBP
CFD,C3
FBLN1,CFD
CFD,ND3
CNN2,FBLN1
RPL28,RABAC1
PLD3,EMP3
TYMP,EMP3
EMP3,COL6A2
FTL,PLD3
APOE,PLD3
ZFP36,CNN1
ZFP36,JUNB
ZFP36,APOE
IGLC2,ZFP36
ZFP36,COL6A2
COX1,ZFP36
FBLN1,C3
C3,PLXNB2
C3,COX2
FTL,FXYD5
FTL,NOTCH3
FTL,TYROBP
FTL,APOE
FTL,ITGB2
COX3,FTL
CNN1,FXYD5
RPL28,MICOS13
CNN1,RPL28
APOE,RPL28
LGALS1,RPL28
HSPB6,PPP1R14A
FBLN1,HSPB6
HSPB6,LGALS1
HSPB6,COL6A2
CNN1,ACTN4
CNN1,PPP1R14A
APOE,CNN1
CNN1,SMTN
CNN1,ITGB2
APOE,FCGRT
JUNB,LGALS1
COX1,JUNB
NOTCH3,PPP1R14A
APOE,NOTCH3
NOTCH3,COL6A2
PPP1R14A,SMTN
PPP1R14A,COL6A2
CYTB,PPP1R14A
APOE,ST13
IGLC2,FBLN1
FBLN1,ND4
ND3,LGALS1
LGALS1,CYTB
ND1,ND2
COX2,ND1
ND1,ATP6
COX3,ND1
ND4,ND1
ND1,CYTB
COX2,ND2
ND3,ND2
ND4,ND2
COX2,COX1
COX3,COX1
ND3,COX1
COX2,COX3
COX2,ND3
COX2,CYTB
COX3,ATP6
ND3,ATP6
ND4,ATP6
ND3,COX3
ND4,COX3
COX3,CYTB
ND4,ND3
ND4,ND5
ND4,CYTB
