Cause,Effect
RPL11,PRDX1
RPL11,S100A10
RPL11,S100A11
RPL11,RPS27
PFDN2,RPL11
SNRPE,RPL11
RPS27A,RPL11
CCDC30,ODF2L
CCDC30,HIPK1
CCDC30,SPATA17
PRDX1,S100A10
PRDX1,S100A11
PRDX1,S100A6
PRDX1,PFDN2
PRDX1,CACYBP
CENPF,CYP4Z1
RPS27,ST6GALNAC5
ODF2L,HIPK1
ODF2L,SPATA17
S100A11,TGFBR3
HIPK1,SPATA17
S100A11,TXNIP
ASPM,TUFT1
S100A10,S100A11
S100A10,S100A6
S100A10,RPS27
SNRPE,S100A10
RPS27A,S100A10
PFDN2,S100A11
MPC2,S100A11
RPS27A,S100A6
PFDN2,RPS27
SNRPE,RPS27
RPS27A,RPS27
SNRPE,PFDN2
PFDN2,RPS27A
SNRPE,CACYBP
RPS27A,CACYBP
KIF14,ASPM
CENPF,ASPM
SNRPE,RPS27A
TSGA10,DNAH6
DNAH7,DNAH6
TTC21A,DNAH6
TMSB10,BHLHE40
TMSB10,RPL15
TSGA10,TTC21A
RPL15,DBI
PDK1,PFKFB4
GULP1,LMCD1
GULP1,ZNF385D
GULP1,RPL15
GULP1,ARPP21
GULP1,ULK4
STAT1,SP110
RPL15,STAT1
IGFBP5,SNED1
RPL15,LSM3
RPL15,ARPP21
RPL15,ULK4
RPL15,TMEM45A
NEK10,ULK4
NEK10,TMEM45A
TMEM45A,MITF
IFT57,CFAP92
IFT57,MLF1
IQCG,IFT57
CC2D2A,IFT57
PARP9,PARP14
MARCHF1,PARP9
PARP14,SYNPO2
MARCHF1,PARP14
MLF1,IQCG
IQCJ-SCHIP1,IQCG
RPL22L1,RPL35A
USP13,PPP1R2
USP13,IQCG
USP13,UNC5C
MARCHF1,USP13
PPP1R2,IQCG
RPL35A,IQCG
CC2D2A,IQCG
MARCHF1,IQCG
H2AZ1,RPL35A
UNC5C,NDST4
MARCHF1,UNC5C
H2AZ1,HMGB2
SLC39A8,NDST4
HMGB2,CENPE
SYNPO2,MARCHF1
MARCHF1,TMEM144
NPY1R,MARCHF1
SPEF2,DNAH5
DNAH5,PFDN6
ANKH,MAP1B
SPEF2,HMGCS1
SPEF2,MAP1B
SPEF2,PFDN6
MAP1B,DSP
RPS23,UQCRQ
DSP,RPS23
RPS23,SOX4
RPS23,HSPA1A
COX7C,UQCRQ
DSP,COX7C
COX7C,HSPA1A
COX7C,PFDN6
NDUFA2,UQCRQ
RPS10,UQCRQ
HLA-C,NDUFA2
NDUFA2,PFDN6
NDUFA2,RPS10
DSP,SOX4
HLA-B,DSP
DSP,HSPA1A
RPS10,DSP
SOX4,PFDN6
SOX4,PTP4A1
H2AC6,H2BC5
H2AC6,HSPA1A
H2BC5,HLA-B
H2BC5,PFDN6
HLA-C,HLA-B
HLA-C,HSPA1A
HLA-C,RPS10
HLA-C,PTP4A1
RPS10,HLA-B
KCNQ5,TENT5A
AGR2,KCNQ5
KCNQ5,NHSL2
TTK,KIF4A
CD24,AGR2
CCDC146,MYB
CDHR3,MYB
HSPB1,AGR2
AGR2,SLC7A2
CACNA2D1,HDAC9
CDHR3,JAZF1
CCDC146,HSPB1
HSPB1,CACNA2D1
HSPB1,NHSL2
HSPB1,PCDH11X
HSPB1,SLC7A2
HSPB1,C8orf34
CACNA2D1,CCDC146
CCDC146,CFAP69
CCDC146,CDHR3
CCDC146,IFT56
CCDC146,RPGR
CCDC146,HNF4G
CACNA2D1,C8orf34
CDHR3,ADAM22
CDHR3,CFAP69
CFAP69,RPGR
CDHR3,RPGR
CDHR3,HNF4G
IFT56,RPGR
PCDH11X,NHSL2
SLC7A2,NHSL2
PCDH11X,SLC7A2
SLC7A2,C8orf34
SLC7A2,JPH1
SULF1,C8orf34
PTPRD,RALYL
TRIM5,RALYL
FTH1,RALYL
TMEM67,DNAAF11
TMEM67,RFX3
TMEM67,DNAI1
ANKRD42,TMEM67
UQCRB,RPL30
UQCRB,SELENOH
UQCRB,FTH1
UQCRB,RPS3
TRIM5,SDC2
SELENOH,RPL30
RPL30,FTH1
PPP1R14B,RPL30
FAU,RPL30
RPL30,RPS3
DNAAF11,RFX3
DNAAF11,CCDC171
DNAAF11,ANKRD42
DNAI1,RFX3
DCDC1,RFX3
PTPRD,TRIM5
DNAI1,CCDC171
CCDC34,CCDC171
DCDC1,CCDC171
TRIM5,RIGI
DCDC1,DNAI1
TUBB4B,CKS2
FTH1,IER5L
CCDC34,TUBB4B
TUBB4B,FTH1
TUBB4B,FAU
TRIM5,STX3
TRIM5,ANKRD42
DCDC1,ANKRD42
SELENOH,FTH1
SELENOH,RPS3
PPP1R14B,FTH1
FAU,FTH1
FTH1,RPS3
PPP1R14B,FAU
PPP1R14B,RPS3
FAU,RPS3
HSPA8,ATP5MG
ATP5MG,TUBA1B
ATP5MG,RPL41
DYNLL1,ATP5MG
HSPA8,EI24
HSPA8,RPL41
HSPA8,CEP83
DYNLL1,HSPA8
EI24,IDI1
EI24,RPL41
DYNLL1,EI24
TMEM45B,DERA
RPL41,IDI1
DYNLL1,IDI1
NRG3,DDIT4
E2F7,DDIT4
NRG3,ATRNL1
ADIRF,RPL41
SCD,DERA
SORCS1,BNIP3
SORCS1,APOLD1
SORCS1,NELL2
SORCS1,RPL41
BNIP3,RPL41
DYNLL1,TUBA1B
DYNLL1,RPL41
MDM1,E2F7
E2F7,GAS2L3
ACTR6,CEP83
DYNLL1,CEP83
ACTR6,DYNLL1
RPL36AL,RAN
RTRAF,RAN
RAN,CALM1
CRIP1,RAN
B2M,RAN
DCLK1,FREM2
DCLK1,IRS2
PTPN21,DCLK1
DCLK1,CATSPERB
FREM2,ERO1A
FREM2,ACYP1
LHFPL6,RTN1
SAMD4A,PCDH9
PCDH9,RTN1
PTPN21,PCDH9
AKAP6,DGLUCY
AKAP6,CATSPERB
RPL36AL,NFKBIA
RPL36AL,RTRAF
RPL36AL,CALM1
RPL36AL,HSP90AA1
RPL36AL,B2M
RTRAF,CALM1
SAMD4A,ERO1A
SAMD4A,PTPN21
SNAPC1,BBOF1
SNAPC1,ACYP1
SNAPC1,CALM1
SNAPC1,EML1
HSP90AA1,SNAPC1
MOK,SNAPC1
DNAL1,BBOF1
DNAL1,CALM1
DNAL1,EML1
HSP90AA1,DNAL1
MOK,DNAL1
BBOF1,CALM1
MOK,BBOF1
CALM1,ACYP1
MOK,FOXN3
CALM1,EML1
HSP90AA1,CALM1
B2M,CALM1
DGLUCY,CATSPERB
EML1,MOK
MOK,HSP90AA1
B2M,HSP90AA1
DNAAF4,MYO1E
DNAAF4,SLCO3A1
DNAAF4,DOC2A
DNAAF4,HSBP1
MYO1E,DNAJA4
DOC2A,MYO1E
DOC2A,DNAJA4
CCDC78,SAXO2
VWA3A,SAXO2
DOC2A,SAXO2
SLCO3A1,NUPR1
ADAMTS18,SLCO3A1
SLCO3A1,RPL23
DOC2A,PCSK6
DOC2A,CCDC78
NDUFB10,ARL6IP1
NDUFB10,RPL23A
NDUFB10,KRT10
NDUFB10,EIF1
NDUFB10,H3-3B
ARL6IP1,MT2A
ARL6IP1,RPL23A
ARL6IP1,H3-3B
HSBP1,NUPR1
NUPR1,RPL23
EIF1,NUPR1
RPL27,NUPR1
ACTG1,NUPR1
RPL26,ADAMTS18
HSBP1,RPL26
HSBP1,UBB
HSBP1,RPL23A
HSBP1,RPL23
HSBP1,KRT10
HSBP1,H3-3B
HSBP1,ACTG1
RPL23A,RPL26
RPL23,RPL26
