Cause,Effect,Label
RPS27A,RPL11,1
CCDC30,ODF2L,1
CENPF,CYP4Z1,1
RPS27,ST6GALNAC5,1
ODF2L,HIPK1,1
S100A10,S100A6,1
RPS27A,S100A10,1
RPS27A,S100A6,1
SNRPE,CACYBP,1
RPS27A,CACYBP,1
TMSB10,BHLHE40,1
GULP1,LMCD1,1
GULP1,ZNF385D,1
GULP1,ARPP21,1
STAT1,SP110,1
IGFBP5,SNED1,1
RPL15,ARPP21,1
RPL15,ULK4,1
RPL15,TMEM45A,1
NEK10,TMEM45A,1
TMEM45A,MITF,1
USP13,PPP1R2,1
MARCHF1,USP13,1
RPL35A,IQCG,1
MARCHF1,IQCG,1
UNC5C,NDST4,1
MARCHF1,UNC5C,1
H2AZ1,HMGB2,1
HMGB2,CENPE,1
MARCHF1,TMEM144,1
SPEF2,DNAH5,1
DNAH5,PFDN6,1
SPEF2,HMGCS1,1
SPEF2,PFDN6,1
MAP1B,DSP,1
RPS23,UQCRQ,1
RPS23,SOX4,1
RPS23,HSPA1A,1
COX7C,UQCRQ,1
COX7C,HSPA1A,1
NDUFA2,UQCRQ,1
DSP,SOX4,1
DSP,HSPA1A,1
SOX4,PFDN6,1
SOX4,PTP4A1,1
H2BC5,HLA-B,1
HLA-C,HLA-B,1
HLA-C,PTP4A1,1
AGR2,KCNQ5,1
CCDC146,MYB,1
CDHR3,MYB,1
HSPB1,AGR2,1
AGR2,SLC7A2,1
CDHR3,JAZF1,1
HSPB1,NHSL2,1
HSPB1,PCDH11X,1
HSPB1,SLC7A2,1
CACNA2D1,CCDC146,1
CCDC146,IFT56,1
CCDC146,RPGR,1
CCDC146,HNF4G,1
CACNA2D1,C8orf34,1
CDHR3,ADAM22,1
CFAP69,RPGR,1
CDHR3,HNF4G,1
SLC7A2,NHSL2,1
SLC7A2,JPH1,1
TRIM5,RALYL,1
FTH1,RALYL,1
UQCRB,RPL30,1
UQCRB,SELENOH,1
UQCRB,RPS3,1
FAU,RPL30,1
DNAAF11,CCDC171,1
DCDC1,RFX3,1
DNAI1,CCDC171,1
TUBB4B,CKS2,1
FTH1,IER5L,1
CCDC34,TUBB4B,1
TRIM5,STX3,1
TRIM5,ANKRD42,1
FTH1,RPS3,1
FAU,RPS3,1
HSPA8,ATP5MG,1
ATP5MG,TUBA1B,1
DYNLL1,ATP5MG,1
HSPA8,CEP83,1
DYNLL1,HSPA8,1
DYNLL1,EI24,1
RPL41,IDI1,1
DYNLL1,IDI1,1
NRG3,DDIT4,1
E2F7,DDIT4,1
NRG3,ATRNL1,1
SCD,DERA,1
SORCS1,BNIP3,1
SORCS1,NELL2,1
DYNLL1,TUBA1B,1
DYNLL1,RPL41,1
E2F7,GAS2L3,1
DYNLL1,CEP83,1
DCLK1,FREM2,1
DCLK1,IRS2,1
PTPN21,DCLK1,1
FREM2,ERO1A,1
PCDH9,RTN1,1
RPL36AL,NFKBIA,1
SAMD4A,ERO1A,1
HSP90AA1,SNAPC1,1
MOK,SNAPC1,1
DNAL1,CALM1,1
DNAL1,EML1,1
HSP90AA1,DNAL1,1
MOK,DNAL1,1
BBOF1,CALM1,1
MOK,BBOF1,1
CALM1,EML1,1
HSP90AA1,CALM1,1
DNAAF4,MYO1E,1
DNAAF4,DOC2A,1
MYO1E,DNAJA4,1
DOC2A,MYO1E,1
DOC2A,DNAJA4,1
DOC2A,SAXO2,1
SLCO3A1,NUPR1,1
SLCO3A1,RPL23,1
DOC2A,PCSK6,1
DOC2A,CCDC78,1
HSBP1,NUPR1,1
EIF1,NUPR1,1
ACTG1,NUPR1,1
RPL23A,RPL26,1
RPL23,RPL26,1
RPL26,KRT10,1
RPL27,RPL26,1
ACTG1,RPL26,1
RPL23A,KRT10,1
EIF1,KRT10,1
TTC28,ANKRD30B,1
BCAS1,PSTPIP2,1
TTC28,CDK5RAP1,1
PTPRT,IQCN,1
TTC28,PTPRT,1
ATP5F1E,DNAJB1,1
ATP5F1E,CFAP298,1
RPS15,COX6B1,1
RPS15,ATP5PF,1
RPS15,SOD1,1
RPS15,CFAP298,1
RABL2B,RFX2,1
RFX2,CFAP298,1
RFX2,MRPS6,1
FAM227A,ZNF440,1
FAM227A,TTC28,1
FAM227A,CFAP298,1
ATP5PF,SOD1,1
FGF12,ETF1,0
ETF1,FGF12,0
CENPE,MRPL19,0
MRPL19,CENPE,0
DMGDH,DNAL1,0
DNAL1,DMGDH,0
PSTPIP2,ACYP1,0
ACYP1,PSTPIP2,0
ARL6IP1,SEMA6A,0
SEMA6A,ARL6IP1,0
MACC1,RPL22L1,0
RPL22L1,MACC1,0
STAT1,SEMA6A,0
SEMA6A,STAT1,0
RTN1,CFAP69,0
CFAP69,RTN1,0
SEMA6A,PRDX1,0
PRDX1,SEMA6A,0
DMGDH,IER5L,0
IER5L,DMGDH,0
HMGB2,USP24,0
USP24,HMGB2,0
HLA-C,MACC1,0
MACC1,HLA-C,0
ST6GALNAC5,MAP2,0
MAP2,ST6GALNAC5,0
BMERB1,TFAP2C,0
TFAP2C,BMERB1,0
PCSK6,PFKFB4,0
PFKFB4,PCSK6,0
PSTPIP2,ATP8A2,0
ATP8A2,PSTPIP2,0
SLC39A8,MT2A,0
MT2A,SLC39A8,0
CDHR3,LHFPL6,0
LHFPL6,CDHR3,0
HIPK1,LHFPL6,0
LHFPL6,HIPK1,0
CCDC150,CDHR3,0
CDHR3,CCDC150,0
CDK5RAP1,SETBP1,0
SETBP1,CDK5RAP1,0
NMNAT3,KIF4A,0
KIF4A,NMNAT3,0
CDC14A,PDK1,0
PDK1,CDC14A,0
HLA-B,LHFPL6,0
LHFPL6,HLA-B,0
H2BC5,BMERB1,0
BMERB1,H2BC5,0
FGF12,DNM3,0
DNM3,FGF12,0
CFAP251,S100A6,0
S100A6,CFAP251,0
PFKFB4,STMND1,0
STMND1,PFKFB4,0
DDIT3,CDC14A,0
CDC14A,DDIT3,0
MACC1,UQCRQ,0
UQCRQ,MACC1,0
TTC28,LHFPL6,0
LHFPL6,TTC28,0
LHFPL6,RPL30,0
RPL30,LHFPL6,0
CDHR3,DMGDH,0
DMGDH,CDHR3,0
SEMA6A,DMGDH,0
DMGDH,SEMA6A,0
CDK5RAP1,FGF12,0
FGF12,CDK5RAP1,0
CDC14A,VEGFA,0
VEGFA,CDC14A,0
KRT80,STMND1,0
STMND1,KRT80,0
MT2A,PSTPIP2,0
PSTPIP2,MT2A,0
PARP14,LHFPL6,0
LHFPL6,PARP14,0
PFKFB4,PDZRN3,0
PDZRN3,PFKFB4,0
RFX2,SEMA6A,0
SEMA6A,RFX2,0
PSTPIP2,STAT1,0
STAT1,PSTPIP2,0
JPH1,SEMA6A,0
SEMA6A,JPH1,0
LHFPL6,S100A11,0
S100A11,LHFPL6,0
PDK1,IQCJ-SCHIP1,0
IQCJ-SCHIP1,PDK1,0
SEMA6A,CDHR3,0
CDHR3,SEMA6A,0
RORA,HNF4G,0
HNF4G,RORA,0
ST6GALNAC5,BCAS1,0
BCAS1,ST6GALNAC5,0
LHFPL6,SPEF2,0
SPEF2,LHFPL6,0
CDC14A,POLR2L,0
POLR2L,CDC14A,0
HSPH1,FGF12,0
FGF12,HSPH1,0
AGR2,LHFPL6,0
LHFPL6,AGR2,0
MACC1,DBI,0
DBI,MACC1,0
DNAAF4,SEMA6A,0
SEMA6A,DNAAF4,0
ACTG1,LHFPL6,0
LHFPL6,ACTG1,0
DOCK4,GAS2L3,0
GAS2L3,DOCK4,0
PFKFB4,ADCY1,0
ADCY1,PFKFB4,0
KIAA0319,SEMA6A,0
SEMA6A,KIAA0319,0
H2BC5,PFKFB4,0
PFKFB4,H2BC5,0
SETBP1,LMCD1,0
LMCD1,SETBP1,0
RTN1,HNF4G,0
HNF4G,RTN1,0
STMND1,H2BC5,0
H2BC5,STMND1,0
FAM13A,SLC39A8,0
SLC39A8,FAM13A,0
PFKFB4,CDHR3,0
CDHR3,PFKFB4,0
PFKFB4,BCAS1,0
BCAS1,PFKFB4,0
LHFPL6,CHORDC1,0
CHORDC1,LHFPL6,0
PTP4A1,XYLT1,0
XYLT1,PTP4A1,0
CDC14A,DBI,0
DBI,CDC14A,0
BHLHE40,SLC39A8,0
SLC39A8,BHLHE40,0
CCDC150,KRT80,0
KRT80,CCDC150,0
MACC1,EIF1,0
EIF1,MACC1,0
SEMA6A,TFF3,0
TFF3,SEMA6A,0
PCSK6,IER5L,0
IER5L,PCSK6,0
PSTPIP2,PFDN2,0
PFDN2,PSTPIP2,0
SNED1,S100A6,0
S100A6,SNED1,0
IDI1,LHFPL6,0
LHFPL6,IDI1,0
NMNAT3,CCDC78,0
CCDC78,NMNAT3,0
ARL6IP1,SLC39A8,0
SLC39A8,ARL6IP1,0
