Cause,Effect,Label
RPS27A,RPL11,1
CCDC30,ODF2L,1
CENPF,CYP4Z1,1
RPS27,ST6GALNAC5,1
ODF2L,HIPK1,1
S100A10,S100A6,1
RPS27A,S100A10,1
RPS27A,S100A6,1
SNRPE,CACYBP,1
RPS27A,CACYBP,1
TMSB10,BHLHE40,1
GULP1,LMCD1,1
GULP1,ZNF385D,1
GULP1,ARPP21,1
STAT1,SP110,1
IGFBP5,SNED1,1
RPL15,ARPP21,1
RPL15,ULK4,1
RPL15,TMEM45A,1
NEK10,TMEM45A,1
TMEM45A,MITF,1
USP13,PPP1R2,1
MARCHF1,USP13,1
RPL35A,IQCG,1
MARCHF1,IQCG,1
UNC5C,NDST4,1
MARCHF1,UNC5C,1
H2AZ1,HMGB2,1
HMGB2,CENPE,1
MARCHF1,TMEM144,1
SPEF2,DNAH5,1
DNAH5,PFDN6,1
SPEF2,HMGCS1,1
SPEF2,PFDN6,1
MAP1B,DSP,1
RPS23,UQCRQ,1
RPS23,SOX4,1
RPS23,HSPA1A,1
COX7C,UQCRQ,1
COX7C,HSPA1A,1
NDUFA2,UQCRQ,1
DSP,SOX4,1
DSP,HSPA1A,1
SOX4,PFDN6,1
SOX4,PTP4A1,1
H2BC5,HLA-B,1
HLA-C,HLA-B,1
HLA-C,PTP4A1,1
AGR2,KCNQ5,1
CCDC146,MYB,1
CDHR3,MYB,1
HSPB1,AGR2,1
AGR2,SLC7A2,1
CDHR3,JAZF1,1
HSPB1,NHSL2,1
HSPB1,PCDH11X,1
HSPB1,SLC7A2,1
CACNA2D1,CCDC146,1
CCDC146,IFT56,1
CCDC146,RPGR,1
CCDC146,HNF4G,1
CACNA2D1,C8orf34,1
CDHR3,ADAM22,1
CFAP69,RPGR,1
CDHR3,HNF4G,1
SLC7A2,NHSL2,1
SLC7A2,JPH1,1
TRIM5,RALYL,1
FTH1,RALYL,1
UQCRB,RPL30,1
UQCRB,SELENOH,1
UQCRB,RPS3,1
FAU,RPL30,1
DNAAF11,CCDC171,1
DCDC1,RFX3,1
DNAI1,CCDC171,1
TUBB4B,CKS2,1
FTH1,IER5L,1
CCDC34,TUBB4B,1
TRIM5,STX3,1
TRIM5,ANKRD42,1
FTH1,RPS3,1
FAU,RPS3,1
HSPA8,ATP5MG,1
ATP5MG,TUBA1B,1
DYNLL1,ATP5MG,1
HSPA8,CEP83,1
DYNLL1,HSPA8,1
DYNLL1,EI24,1
RPL41,IDI1,1
DYNLL1,IDI1,1
NRG3,DDIT4,1
E2F7,DDIT4,1
NRG3,ATRNL1,1
SCD,DERA,1
SORCS1,BNIP3,1
SORCS1,NELL2,1
DYNLL1,TUBA1B,1
DYNLL1,RPL41,1
E2F7,GAS2L3,1
DYNLL1,CEP83,1
DCLK1,FREM2,1
DCLK1,IRS2,1
PTPN21,DCLK1,1
FREM2,ERO1A,1
PCDH9,RTN1,1
RPL36AL,NFKBIA,1
SAMD4A,ERO1A,1
HSP90AA1,SNAPC1,1
MOK,SNAPC1,1
DNAL1,CALM1,1
DNAL1,EML1,1
HSP90AA1,DNAL1,1
MOK,DNAL1,1
BBOF1,CALM1,1
MOK,BBOF1,1
CALM1,EML1,1
HSP90AA1,CALM1,1
DNAAF4,MYO1E,1
DNAAF4,DOC2A,1
MYO1E,DNAJA4,1
DOC2A,MYO1E,1
DOC2A,DNAJA4,1
DOC2A,SAXO2,1
SLCO3A1,NUPR1,1
SLCO3A1,RPL23,1
DOC2A,PCSK6,1
DOC2A,CCDC78,1
HSBP1,NUPR1,1
EIF1,NUPR1,1
ACTG1,NUPR1,1
RPL23A,RPL26,1
RPL23,RPL26,1
RPL26,KRT10,1
RPL27,RPL26,1
ACTG1,RPL26,1
RPL23A,KRT10,1
EIF1,KRT10,1
TTC28,ANKRD30B,1
BCAS1,PSTPIP2,1
TTC28,CDK5RAP1,1
PTPRT,IQCN,1
TTC28,PTPRT,1
ATP5F1E,DNAJB1,1
ATP5F1E,CFAP298,1
RPS15,COX6B1,1
RPS15,ATP5PF,1
RPS15,SOD1,1
RPS15,CFAP298,1
RABL2B,RFX2,1
RFX2,CFAP298,1
RFX2,MRPS6,1
FAM227A,ZNF440,1
FAM227A,TTC28,1
FAM227A,CFAP298,1
ATP5PF,SOD1,1
