Cause,Effect
RPL11,PRDX1
RPL11,S100A10
S100A11,RPL11
RPL11,S100A6
RPS27,RPL11
RPL11,CACYBP
RPL11,SNRPE
RPL11,SPATA17
RPS27A,RPL11
CCDC30,ODF2L
TGFBR3,CCDC30
CCDC30,CDC14A
S100A11,CCDC30
CCDC30,S100A6
CCDC30,SPATA17
PLEKHH2,CCDC30
S100A11,PRDX1
S100A6,PRDX1
RPS27A,PRDX1
CYP4Z1,ST6GALNAC5
TGFBR3,CYP4Z1
CYP4Z1,CDC14A
HIPK1,CYP4Z1
CYP4Z1,TXNIP
CENPF,CYP4Z1
SLC8A1,CYP4Z1
PLEKHH2,CYP4Z1
PLEKHH2,USP24
TGFBR3,ST6GALNAC5
RPS27,ST6GALNAC5
TGFBR3,ODF2L
ODF2L,HIPK1
ODF2L,SPATA17
TGFBR3,CDC14A
TGFBR3,S100A11
TGFBR3,SLC8A1
CDC14A,S100A6
SPATA17,CDC14A
SLC8A1,CDC14A
SPATA17,HIPK1
S100A11,TXNIP
S100A6,TXNIP
ASPM,TXNIP
TXNIP,ELF3
SPATA17,TXNIP
TUFT1,S100A10
TUFT1,CACYBP
TUFT1,ELF3
S100A11,S100A10
S100A10,S100A6
RPS27,S100A10
S100A10,SNRPE
SPATA17,S100A10
RPS27A,S100A10
S100A11,S100A6
S100A11,RPS27
S100A11,PFDN2
S100A11,MPC2
S100A11,ELF3
S100A11,SLC8A1
PLEKHH2,S100A11
S100A11,RPS27A
RPS27,S100A6
S100A6,ELF3
SLC8A1,S100A6
RPS27A,S100A6
RPS27,PFDN2
MPC2,RPS27
RPS27,SNRPE
RPS27,CENPF
RPS27A,RPS27
PFDN2,SNRPE
PFDN2,CENPF
RPS27A,PFDN2
PLEKHH2,MPC2
RPS27A,MPC2
SNRPE,CACYBP
RPS27A,CACYBP
ASPM,CENPF
KIF14,CENPF
CENPF,ELF3
RPS27A,CENPF
MRPL19,GULP1
MRPL19,ULK4
TSGA10,DNAH6
GULP1,DNAH6
DNAH7,DNAH6
DNAH6,MAP2
DNAH6,SNED1
TTC21A,DNAH6
ULK4,DNAH6
TMSB10,BHLHE40
TSGA10,DNAH7
TSGA10,SNED1
TSGA10,TTC21A
ULK4,TSGA10
PDZRN3,TSGA10
DBI,GULP1
PDK1,BHLHE40
LMCD1,PDK1
PDK1,ZNF385D
PDK1,PFKFB4
GULP1,DNAH7
GULP1,MAP2
GULP1,LMCD1
GULP1,ZNF385D
RPL15,GULP1
GULP1,NEK10
GULP1,ARPP21
ULK4,GULP1
GULP1,MITF
GULP1,EPHA6
STAT1,SP110
RPL15,STAT1
ULK4,STAT1
CCDC150,DNAH7
TTC21A,DNAH7
ULK4,DNAH7
IGFBP2,CCDC150
CCDC150,IGFBP5
CCDC150,HDAC4
NEK10,CCDC150
PDZRN3,CCDC150
RPL15,MAP2
IGFBP2,IGFBP5
IGFBP2,SP110
IGFBP2,HDAC4
IGFBP2,SNED1
IGFBP2,BHLHE40
IGFBP2,NEK10
IGFBP2,ULK4
IGFBP2,EPHA6
IGFBP5,SNED1
PDZRN3,IGFBP5
PDZRN3,SP110
RPL15,SNED1
ARPP21,SNED1
PFKFB4,BHLHE40
BHLHE40,TMEM45A
RPL15,LMCD1
EPHA6,LMCD1
LSM3,PDZRN3
ZNF385D,ARPP21
RPL15,NEK10
RPL15,ARPP21
RPL15,ULK4
RPL15,TMEM45A
ARPP21,NEK10
ULK4,NEK10
NEK10,PDZRN3
NEK10,TMEM45A
ULK4,ARPP21
ARPP21,PDZRN3
ULK4,TTC21A
ULK4,TMEM45A
PFKFB4,MITF
PFKFB4,TMEM45A
EPHA6,MITF
TMEM45A,MITF
MLF1,IFT57
IFT57,USP13
IFT57,PPP1R2
IQCG,IFT57
IFT57,CC2D2A
H2AZ1,IFT57
COX17,PPP1R2
RPL35A,COX17
COX17,H2AZ1
COX17,MARCHF1
COX17,HMGB2
COX17,NDUFS6
PARP14,PARP9
RPL35A,PARP9
PARP9,UNC5C
PARP9,TMEM144
MARCHF1,PARP9
PARP14,USP13
RPL35A,PARP14
SYNPO2,PARP14
MARCHF1,PARP14
USP13,CFAP92
IQCG,CFAP92
CC2D2A,CFAP92
HMGB2,CFAP92
NMNAT3,CENPE
FAM241A,NMNAT3
MARCHF1,NMNAT3
MLF1,PPP1R2
IQCG,MLF1
RPL35A,MLF1
MLF1,HSPA4L
FGF12,IQCJ-SCHIP1
IQCG,IQCJ-SCHIP1
RPL35A,IQCJ-SCHIP1
IQCJ-SCHIP1,CENPE
IQCJ-SCHIP1,FAM241A
IQCJ-SCHIP1,NDST4
TMEM144,IQCJ-SCHIP1
RPL35A,RPL22L1
H2AZ1,RPL22L1
NDUFS6,RPL22L1
USP13,PPP1R2
IQCG,USP13
UNC5C,USP13
USP13,HSPA4L
MARCHF1,USP13
HMGB2,USP13
FGF12,RPL35A
FGF12,H2AZ1
FGF12,FAM241A
IQCG,PPP1R2
PPP1R2,FAM13A
CENPE,PPP1R2
RPL35A,IQCG
IQCG,CC2D2A
IQCG,FAM241A
IQCG,NDST4
IQCG,HSPA4L
TMEM144,IQCG
MARCHF1,IQCG
IQCG,HMGB2
RPL35A,H2AZ1
RPL35A,CENPE
RPL35A,NDST4
SYNPO2,RPL35A
RPL35A,MARCHF1
RPL35A,NDUFS6
UNC5C,CC2D2A
CENPE,UNC5C
UNC5C,NDST4
SYNPO2,UNC5C
NPY1R,UNC5C
MARCHF1,UNC5C
H2AZ1,HMGB2
H2AZ1,NDUFS6
NDST4,SLC39A8
SYNPO2,CENPE
CENPE,HSPA4L
HMGB2,CENPE
FAM241A,NDST4
SYNPO2,FAM241A
NPY1R,FAM241A
MARCHF1,FAM241A
NPY1R,NDST4
SYNPO2,NPY1R
SYNPO2,MARCHF1
MARCHF1,TMEM144
TMEM144,HMGB2
MARCHF1,NPY1R
SPEF2,DNAH5
MAP1B,DNAH5
DNAH5,DSP
STMND1,DNAH5
DNAH5,KIAA0319
DNAH5,H2AC6
DNAH5,HSPA1A
DNAH5,PFDN6
MAP1B,ANKH
ANKH,STMND1
SPEF2,HMGCS1
SPEF2,CCNB1
MAP1B,SPEF2
PSMG4,SPEF2
SPEF2,DSP
STMND1,SPEF2
SPEF2,SOX4
SPEF2,HSPA1A
SPEF2,PFDN6
NDUFA2,CCNB1
CCNB1,NEURL1B
HSPA1A,CCNB1
VEGFA,CCNB1
DMGDH,MAP1B
MAP1B,ETF1
MAP1B,NEURL1B
MAP1B,PSMG4
MAP1B,DSP
MAP1B,KIAA0319
MAP1B,H2AC6
MAP1B,HLA-B
MAP1B,PTP4A1
COX7C,RPS23
RPS23,UQCRQ
RPS23,SLC25A48
ETF1,RPS23
RPS23,NDUFA2
DSP,RPS23
RPS23,SOX4
RPS23,HLA-C
RPS23,HLA-B
RPS23,HSPA1A
RPS23,PFDN6
RPS23,RPS10
COX7C,UQCRQ
COX7C,NDUFA2
DSP,COX7C
COX7C,HLA-C
COX7C,HLA-B
COX7C,HSPA1A
COX7C,PFDN6
COX7C,RPS10
COX7C,PTP4A1
SEMA6A,STMND1
SEMA6A,PFDN6
NDUFA2,UQCRQ
RPS10,UQCRQ
SOX4,SLC25A48
SLC25A48,KIAA0319
PFDN6,NDUFA2
RPS10,NDUFA2
NEURL1B,KIAA0319
STMND1,DSP
DSP,SOX4
DSP,HLA-C
DSP,HLA-B
DSP,HSPA1A
DSP,RPS10
VEGFA,DSP
VEGFA,STMND1
