Cause,Effect
PRDX1,RPL11
S100A10,RPL11
RPS27,RPL11
RPL11,PFDN2
RPL11,MPC2
RPL11,CACYBP
SNRPE,RPL11
RPS27A,RPL11
CCDC30,ODF2L
CCDC30,HIPK1
PRDX1,S100A10
PRDX1,S100A11
PRDX1,S100A6
PRDX1,PFDN2
PRDX1,CACYBP
CENPF,CYP4Z1
RPS27,ST6GALNAC5
ODF2L,HIPK1
SLC8A1,TGFBR3
ASPM,TUFT1
S100A10,S100A11
S100A10,S100A6
RPS27,S100A10
SNRPE,S100A10
RPS27A,S100A10
RPS27,S100A11
S100A11,PFDN2
S100A11,MPC2
S100A11,ELF3
SNRPE,S100A11
S100A11,SLC8A1
RPS27A,S100A11
RPS27,S100A6
RPS27A,S100A6
RPS27,PFDN2
RPS27,MPC2
SNRPE,PFDN2
RPS27A,PFDN2
RPS27A,MPC2
SNRPE,CACYBP
RPS27A,CACYBP
KIF14,CENPF
MRPL19,IGFBP2
DNAH6,SNED1
DNAH6,ULK4
TMSB10,BHLHE40
TSGA10,DNAH7
RPL15,DBI
GULP1,LMCD1
GULP1,ZNF385D
GULP1,ARPP21
GULP1,ULK4
STAT1,SP110
TTC21A,DNAH7
HDAC4,IGFBP2
IGFBP5,SNED1
RPL15,LSM3
RPL15,NEK10
RPL15,ARPP21
RPL15,ULK4
RPL15,TMEM45A
NEK10,ULK4
NEK10,TMEM45A
TTC21A,ULK4
TMEM45A,MITF
IFT57,MLF1
IFT57,PPP1R2
IFT57,IQCG
CC2D2A,IFT57
NDUFS6,COX17
PARP14,SYNPO2
CC2D2A,CFAP92
IQCG,MLF1
IQCG,IQCJ-SCHIP1
NDUFS6,RPL22L1
USP13,PPP1R2
USP13,IQCG
USP13,UNC5C
SYNPO2,USP13
MARCHF1,USP13
PPP1R2,IQCG
CC2D2A,PPP1R2
FAM13A,PPP1R2
RPL35A,IQCG
CC2D2A,IQCG
IQCG,HSPA4L
MARCHF1,IQCG
UNC5C,NDST4
UNC5C,SYNPO2
MARCHF1,UNC5C
H2AZ1,HMGB2
NDUFS6,H2AZ1
HMGB2,CENPE
MARCHF1,SYNPO2
MARCHF1,TMEM144
SPEF2,DNAH5
DNAH5,PFDN6
ANKH,MAP1B
SPEF2,HMGCS1
SPEF2,MAP1B
SPEF2,DSP
H2AC6,SPEF2
SPEF2,PFDN6
RPS10,CCNB1
MAP1B,DSP
RPS23,UQCRQ
RPS23,NDUFA2
RPS23,DSP
RPS23,SOX4
RPS23,HLA-B
RPS23,HSPA1A
COX7C,UQCRQ
COX7C,NDUFA2
COX7C,DSP
COX7C,HLA-C
COX7C,HLA-B
COX7C,HSPA1A
SEMA6A,STMND1
SEMA6A,PFDN6
NDUFA2,UQCRQ
UQCRQ,HLA-B
HLA-C,NDUFA2
DSP,SOX4
HLA-B,DSP
DSP,HSPA1A
RPS10,DSP
H2BC5,SOX4
SOX4,PFDN6
SOX4,PTP4A1
H2AC6,HSPA1A
H2BC5,HLA-B
H2BC5,PFDN6
HLA-C,HLA-B
HLA-C,HSPA1A
HLA-C,PTP4A1
RPS10,HLA-B
AGR2,KCNQ5
TTK,KIF4A
PXDNL,TTK
CCDC146,MYB
CDHR3,MYB
AGR2,HDAC9
HSPB1,AGR2
AGR2,NHSL2
AGR2,SLC7A2
CACNA2D1,HDAC9
PXDNL,HDAC9
CDHR3,JAZF1
CCDC146,HSPB1
CACNA2D1,HSPB1
HSPB1,NHSL2
HSPB1,PCDH11X
HSPB1,SLC7A2
CACNA2D1,CCDC146
CCDC146,IFT56
CCDC146,RPGR
CCDC146,SLC7A2
CCDC146,HNF4G
CACNA2D1,C8orf34
SULF1,CACNA2D1
CDHR3,ADAM22
CDHR3,CFAP69
CFAP69,RPGR
CFAP69,SULF1
IFT56,CDHR3
CDHR3,RPGR
CDHR3,HNF4G
IFT56,RPGR
PXDNL,KIF4A
PCDH11X,NHSL2
SLC7A2,NHSL2
C8orf34,SLC7A2
SLC7A2,JPH1
C8orf34,SULF1
PTPRD,RALYL
TRIM5,RALYL
FTH1,RALYL
TMEM67,DNAAF11
DCDC1,TMEM67
TMEM67,ANKRD42
UQCRB,RPL30
UQCRB,POLR2L
UQCRB,SELENOH
FTH1,UQCRB
UQCRB,RPS3
FTH1,RPL30
PPP1R14B,RPL30
FAU,RPL30
DNAAF11,CCDC171
DNAI1,DNAAF11
DCDC1,DNAAF11
DNAAF11,ANKRD42
DNAI1,RFX3
DCDC1,RFX3
DNAI1,CCDC171
CCDC34,CCDC171
DCDC1,CCDC171
TRIM5,RIGI
TUBB4B,CKS2
PTCH1,TRIM5
FTH1,IER5L
CCDC34,TUBB4B
FAU,TUBB4B
FAU,POLR2L
TRIM5,STX3
TRIM5,FTH1
TRIM5,ANKRD42
DCDC1,ANKRD42
FTH1,SELENOH
FAU,SELENOH
PPP1R14B,FTH1
FTH1,FAU
FTH1,RPS3
PPP1R14B,FAU
PPP1R14B,RPS3
FAU,RPS3
HSPA8,ATP5MG
ATP5MG,TUBA1B
RPL41,ATP5MG
DYNLL1,ATP5MG
EI24,HSPA8
RPL41,HSPA8
HSPA8,CEP83
DYNLL1,HSPA8
EI24,IDI1
RPL41,EI24
DYNLL1,EI24
TMEM45B,SCD
TMEM45B,KRT80
RPL41,IDI1
DYNLL1,IDI1
NRG3,DDIT4
E2F7,DDIT4
NRG3,ATRNL1
NELL2,NRG3
RPL41,ADIRF
SCD,DERA
SORCS1,BNIP3
SORCS1,APOLD1
SORCS1,NELL2
SORCS1,RPL41
RPL41,BNIP3
DYNLL1,TUBA1B
RPL41,DDIT3
DYNLL1,RPL41
MDM1,E2F7
E2F7,GAS2L3
DYNLL1,CEP83
CFAP251,EML1
CFAP251,MOK
RAN,NFKBIA
RAN,CALM1
RAN,HSP90AA1
DCLK1,FREM2
DCLK1,IRS2
PTPN21,DCLK1
FREM2,ERO1A
FREM2,ACYP1
RTN1,LHFPL6
SAMD4A,PCDH9
PCDH9,RTN1
PTPN21,PCDH9
RPL36AL,NFKBIA
RPL36AL,ACYP1
RPL36AL,CALM1
RPL36AL,HSP90AA1
CRIP1,RPL36AL
CRIP1,RTRAF
RTRAF,B2M
SAMD4A,ERO1A
SNAPC1,BBOF1
SNAPC1,ACYP1
SNAPC1,CALM1
SNAPC1,EML1
HSP90AA1,SNAPC1
MOK,SNAPC1
DNAL1,BBOF1
DNAL1,CALM1
DNAL1,EML1
HSP90AA1,DNAL1
MOK,DNAL1
BBOF1,CALM1
BBOF1,EML1
MOK,BBOF1
CALM1,ACYP1
PTPN21,DGLUCY
PTPN21,CATSPERB
MOK,FOXN3
CALM1,EML1
HSP90AA1,CALM1
B2M,CALM1
MOK,EML1
MOK,HSP90AA1
B2M,HSP90AA1
CRIP1,B2M
DNAAF4,MYO1E
DNAAF4,SLCO3A1
DNAAF4,DOC2A
HSBP1,DNAAF4
RPL27,DNAAF4
MYO1E,DNAJA4
DOC2A,MYO1E
MYO1E,ADAMTS18
DOC2A,DNAJA4
CCDC78,SAXO2
DOC2A,SAXO2
BMERB1,PRC1
SLCO3A1,NUPR1
SLCO3A1,ADAMTS18
SLCO3A1,RPL23
SLCO3A1,RPL27
DOC2A,PCSK6
DOC2A,CCDC78
RPL23A,NDUFB10
EIF1,NDUFB10
H3-3B,NDUFB10
RPL23A,ARL6IP1
EIF1,ARL6IP1
H3-3B,ARL6IP1
HSBP1,NUPR1
NUPR1,RPL23
EIF1,NUPR1
RPL27,NUPR1
ACTG1,NUPR1
RPL23A,MT2A
H3-3B,MT2A
RPL26,ADAMTS18
RPL23,ADAMTS18
HSBP1,RPL26
HSBP1,UBB
HSBP1,RPL23
HSBP1,KRT10
HSBP1,RPL27
RPL23A,RPL26
RPL23,RPL26
RPL26,KRT10
EIF1,RPL26
RPL27,RPL26
ACTG1,RPL26
UBB,KRT10
UBB,EIF1
RPL23A,RPL23
RPL23A,KRT10
RPL23A,EIF1
RPL23A,RPL27
RPL23A,ACTG1
RPL27,RPL23
H3-3B,RPL23
ACTG1,RPL23
EIF1,KRT10
RPL27,KRT10
H3-3B,KRT10
RPL27,EIF1
H3-3B,EIF1
ACTG1,EIF1
ACTG1,RPL27
H3-3B,ACTG1
TTC28,ANKRD30B
ANKRD30B,BACH1
CHST9,TFAP2C
CHST9,RPS15
TTC28,CHST9
BCL2,PSTPIP2
BCAS1,PSTPIP2
BCL2,TCF4
TTC28,TCF4
TTC28,BCL2
SNRPB,ATP5F1E
SNRPB,COX6B1
SNRPB,ATP5PF
SNRPB,SOD1
SNRPB,TFF3
TTC28,CDK5RAP1
PTPRT,IQCN
TTC28,PTPRT
RPS15,ATP5F1E
ATP5F1E,DNAJB1
COX6B1,ATP5F1E
FTL,ATP5F1E
ATP5PF,ATP5F1E
SOD1,ATP5F1E
ATP5F1E,CFAP298
ATP5F1E,TFF3
RPS15,COX6B1
FTL,RPS15
RPS15,RPS5
RPS15,ATP5PF
RPS15,SOD1
RPS15,CFAP298
RFX2,ZNF440
RABL2B,RFX2
RFX2,CFAP298
RFX2,MRPS6
FAM227A,ZNF440
RABL2B,ZNF440
ZNF440,CFAP298
MRPS6,DNAJB1
FTL,COX6B1
RPS5,COX6B1
ATP5PF,COX6B1
ATP5PF,FTL
FTL,SOD1
ATP5PF,RPS5
SOD1,RPS5
RPS5,TFF3
SOD1,SDF2L1
SDF2L1,TFF3
FAM227A,TTC28
RABL2B,TTC28
RABL2B,FAM227A
FAM227A,CFAP298
RABL2B,CFAP298
ATP5PF,SOD1
ATP5PF,TFF3
CFAP298,SOD1
