Cause,Effect
HSPD1,ENO1
RSRP1,MACF1
RSRP1,JUN
RSRP1,HNRNPU
S100A10,SH3BGRL3
TPM3,SH3BGRL3
TMSB10,SH3BGRL3
HSPE1,NUDC
WASF2,ZFP36L2
ACTR3,PTP4A2
IRF2BP2,ATP6V0B
NASP,S100A6
ID2,JUN
JAK1,GNG5
PRDX6,JAK1
BZW1,JAK1
GNG5,TPM3
GNG5,SSB
S100A10,S100A6
JTB,S100A6
BZW1,S100A6
TMSB10,TPM3
ARPC5,OST4
TMSB10,ARPC5
ACTR3,ARPC5
ATF3,BTG2
BTG2,ACTR3
ATF3,IRF2BP2
ID2,ATF3
ZFP36L2,RHOB
ARPC2,CLIC1
ATP1B3,PTMA
TUBB,PTMA
BRD2,PTMA
SOX4,VGLL4
SPCS1,NFKBIZ
SPCS1,TM4SF1
SSR3,NFKBIZ
RAB7A,LMAN2
TM4SF1,SOX4
EGR1,CCNL1
CCNL1,BRD2
SEC62,CAST
HNRNPH1,TRA2B
OCIAD1,CAST
SNHG8,CLIC1
HLA-A,ARLN
CCT5,SUB1
CCT5,PRELID1
PRELID1,SUB1
PRELID1,EGR1
DUSP1,HSPA1A
HLA-B,SOX4
HLA-C,HLA-E
HLA-B,HLA-E
BRD2,CDKN1A
DYNLT1,HMGN3
EZR,HMGN3
FIS1,SNX3
SARAF,CD164
NCOA7,PSAP
PDLIM1,NCOA7
HEBP2,DYNLT1
BAG1,HEBP2
DYNLT1,NUCB2
EZR,TAX1BP1
EZR,SNHG7
EZR,VIM
SRI,FIS1
SRI,TXN
TUBB4B,SRI
MTPN,VIM
MTPN,PSAP
ANXA1,NFIB
TXN,NFIB
KLF6,NFIB
NFIB,VIM
TUBB4B,DNAJA1
TXN,BAG1
BAG1,VIM
TXN,VIM
SNHG7,VIM
KLF6,NRARP
IFITM3,DDX21
IFITM3,PDLIM1
PDLIM1,CD59
ARPC3,SELENOH
SELENOH,DYNLL1
TMBIM4,PRDX5
PRDX5,DYNLL1
PRDX5,LGALS3
SLC38A2,NEAT1
MALAT1,ARGLU1
TUBA1B,DRAP1
TUBA1B,SPCS2
DYNLL1,HSPA8
SLC38A2,APLP2
APLP2,LAMP1
CD9,TUBA1C
CD9,UBC
CD9,LGALS3
MRPL51,GAPDH
MRPL51,RAN
SLC38A2,NR4A1
TUBA1A,RSRC2
TUBA1A,CDK2AP1
TPT1,TUBA1A
PSMA6,NR4A1
HSP90B1,KRT18
POMP,KRT18
HMGB1,KRT18
POMP,TMBIM4
POMP,ARPC3
PSMA6,ARPC3
DYNLL1,PSMB5
POMP,RAN
PSMA3,RAN
PNN,TPT1
ARGLU1,PNN
ZFP36L1,VMP1
MYDGF,ZFP36L1
GADD45B,FOS
JUNB,FOS
FOS,IER2
PAPOLA,CALM1
HSP90AA1,UBB
DUT,RPS27L
RPS27L,MT2A
MYDGF,PPIB
CALR,PPIB
CIB1,ANKRD11
NDUFV2,CIB1
RPS2,PRKAR1A
DNAJB1,ARL6IP1
NDUFV2,CHD9
JUNB,MAP1LC3B
MYDGF,H3-3B
H3-3B,JUNB
GADD45B,DNAJB1
JUNB,IER2
ZFP36,JUND
JUND,FOSB
MYADM,JUND
JUND,MAFF
ZFP36,FOSB
ZFP36,CSTB
ZFP36,PIM3
SERTAD1,UBE2S
SERTAD1,ETS2
MAFF,AP2S1
SOD1,SELENOW
RPL3,RPL18
MYH9,MYADM
DDX3X,RRBP1
EIF2S2,MAFF
SCAND1,CSTB
SCAND1,SSR4
XBP1,CSTB
XBP1,SAT1
XBP1,SSR4
RPL3,TMSB4X
ATRX,DDX3X
ND3,ND1
COX2,COX1
COX3,COX1
COX2,COX3
ND3,COX2
