Cause,Effect
HSPD1,ENO1
RSRP1,MACF1
RSRP1,JUN
RSRP1,HNRNPU
S100A10,SH3BGRL3
TPM3,SH3BGRL3
SH3BGRL3,TMSB10
NUDC,SSB
NUDC,HSPE1
WASF2,ZFP36L2
PTP4A2,JAK1
BZW1,PTP4A2
ATP6V0B,IRF2BP2
JAK1,GNG5
BZW1,JAK1
GNG5,SSB
TMSB10,RHOC
ATP1A1,LMNA
S100A10,S100A6
CCT3,S100A10
JTB,S100A6
BZW1,S100A6
JTB,SSB
PRDX6,GLUL
BZW1,GLUL
ARPC5,OST4
TMSB10,ARPC5
ACTR3,ARPC5
BTG2,ATF3
BTG2,ACTR3
ATF3,IRF2BP2
BZW1,ATF3
ZFP36L2,RHOB
ARPC2,CLIC1
NCL,HNRNPAB
ATP1B3,PTMA
TUBB,PTMA
BRD2,PTMA
SPCS1,NFKBIZ
SPCS1,TM4SF1
SSR3,SPCS1
SPCS1,OSTC
SSR3,NFKBIZ
EGR1,CCNL1
SEC62,CAST
HNRNPH1,TRA2B
OCIAD1,CAST
SNHG8,CLIC1
HLA-A,ARLN
CCT5,SUB1
CCT5,PRELID1
PRELID1,EGR1
EGR1,CDKN1A
DUSP1,IER3
DUSP1,HSPA1A
HLA-B,SOX4
HLA-C,HLA-E
HLA-B,HLA-E
BRD2,CDKN1A
DYNLT1,HMGN3
EZR,HMGN3
SNX3,FIS1
SARAF,CD164
NCOA7,PSAP
PDLIM1,NCOA7
DYNLT1,NUCB2
EZR,TAX1BP1
EZR,ANXA1
EZR,SNHG7
EZR,VIM
SRI,FIS1
SRI,TXN
TUBB4B,SRI
BRI3,FIS1
ZNF706,MDK
ANXA1,NFIB
KLF6,NFIB
NFIB,VIM
GSN,DNAJA1
TUBB4B,DNAJA1
TXN,BAG1
TXN,VIM
STOM,PDLIM1
KLF6,NRARP
KLF6,ARID5B
IFITM3,DDX21
IFITM3,PDLIM1
PDLIM1,CD59
SELENOH,ARPC3
PRDX5,TMBIM4
PRDX5,DYNLL1
PRDX5,LGALS3
SLC38A2,NEAT1
MALAT1,ARGLU1
DRAP1,TUBA1B
TUBA1B,SPCS2
SPCS2,HSP90B1
DYNLL1,HSPA8
SLC38A2,APLP2
APLP2,LAMP1
CD9,TUBA1C
CD9,UBC
CD9,LGALS3
SLC38A2,NR4A1
TUBA1B,HMGB1
TUBA1B,TSC22D1
TPT1,TUBA1A
LAMP1,NR4A1
HSP90B1,KRT18
POMP,KRT18
HMGB1,KRT18
DYNLL1,PTGES3
PSMA6,PTGES3
POMP,TMBIM4
PSMA6,ARPC3
DYNLL1,PSMB5
RAN,POMP
PSMA3,RAN
PNN,TPT1
ARGLU1,PNN
ZFP36L1,VMP1
GADD45B,FOS
JUNB,FOS
FOS,IER2
CALM1,PAPOLA
CALM1,RPS2
CALM1,PFN1
CALM1,TPM4
HSP90AA1,UBB
DUT,RPS27L
RPS27L,MT2A
CALR,PPIB
CIB1,ANKRD11
RPS2,PRKAR1A
DNAJB1,ARL6IP1
JUNB,MAP1LC3B
H3-3B,JUNB
GADD45B,JUNB
GADD45B,DNAJB1
JUNB,IER2
JUND,FOSB
MYADM,JUND
JUND,MAFF
ZFP36,FOSB
SERTAD1,UBE2S
SERTAD1,ETS2
RPS19,RPL18
MAFF,AP2S1
SOD1,SELENOW
MYH9,MYADM
DDX3X,RRBP1
SCAND1,CSTB
SCAND1,SSR4
PGK1,TMSB4X
ATRX,DDX3X
ND1,ND2
ND3,ND2
COX2,COX1
COX3,COX1
COX2,COX3
