Cause,Effect,Label
JAK1,GNG5,1
BZW1,JAK1,1
GNG5,SSB,1
ARPC5,OST4,1
TMSB10,ARPC5,1
ACTR3,ARPC5,1
BTG2,ACTR3,1
ZFP36L2,RHOB,1
ARPC2,CLIC1,1
EGR1,CCNL1,1
HNRNPH1,TRA2B,1
SNHG8,CLIC1,1
HLA-A,ARLN,1
CCT5,SUB1,1
DUSP1,HSPA1A,1
HLA-C,HLA-E,1
HLA-B,HLA-E,1
BRD2,CDKN1A,1
DYNLT1,HMGN3,1
EZR,HMGN3,1
SARAF,CD164,1
PDLIM1,NCOA7,1
DYNLT1,NUCB2,1
EZR,TAX1BP1,1
EZR,SNHG7,1
SRI,FIS1,1
NFIB,VIM,1
TUBB4B,DNAJA1,1
TXN,BAG1,1
KLF6,NRARP,1
IFITM3,PDLIM1,1
PRDX5,DYNLL1,1
PRDX5,LGALS3,1
SLC38A2,NEAT1,1
MALAT1,ARGLU1,1
TUBA1B,SPCS2,1
DYNLL1,HSPA8,1
SLC38A2,APLP2,1
APLP2,LAMP1,1
CD9,TUBA1C,1
CD9,UBC,1
TPT1,TUBA1A,1
POMP,KRT18,1
HMGB1,KRT18,1
POMP,TMBIM4,1
PSMA6,ARPC3,1
DYNLL1,PSMB5,1
ARGLU1,PNN,1
ZFP36L1,VMP1,1
GADD45B,FOS,1
JUNB,FOS,1
FOS,IER2,1
HSP90AA1,UBB,1
RPS27L,MT2A,1
CIB1,ANKRD11,1
RPS2,PRKAR1A,1
DNAJB1,ARL6IP1,1
GADD45B,DNAJB1,1
JUNB,IER2,1
JUND,FOSB,1
MYADM,JUND,1
JUND,MAFF,1
SERTAD1,UBE2S,1
SERTAD1,ETS2,1
MYH9,MYADM,1
ATRX,DDX3X,1
COX3,COX1,1
UGP2,NUFIP2,0
NUFIP2,UGP2,0
DYNC1H1,SCAND1,0
SCAND1,DYNC1H1,0
CD164,EIF2S2,0
EIF2S2,CD164,0
CDK2AP1,ND3,0
ND3,CDK2AP1,0
EGR1,PRKAR1A,0
PRKAR1A,EGR1,0
RSRC2,ARPC2,0
ARPC2,RSRC2,0
DEK,SSR4,0
SSR4,DEK,0
ATP1B3,NOL7,0
NOL7,ATP1B3,0
BRD2,SUB1,0
SUB1,BRD2,0
CALU,ATF3,0
ATF3,CALU,0
CCT3,EIF4A3,0
EIF4A3,CCT3,0
NUFIP2,CNN3,0
CNN3,NUFIP2,0
SELENOW,GSPT1,0
GSPT1,SELENOW,0
LMAN1,ZFAND5,0
ZFAND5,LMAN1,0
TMBIM4,NORAD,0
NORAD,TMBIM4,0
SCAND1,ID2,0
ID2,SCAND1,0
DYNC1H1,NUDC,0
NUDC,DYNC1H1,0
PRELID1,DNAJA1,0
DNAJA1,PRELID1,0
TMEM123,P4HB,0
P4HB,TMEM123,0
LAMP1,SCAND1,0
SCAND1,LAMP1,0
MALAT1,HMGN3,0
HMGN3,MALAT1,0
MYDGF,HERPUD1,0
HERPUD1,MYDGF,0
DYNC1H1,CCT3,0
CCT3,DYNC1H1,0
FTH1,NUFIP2,0
NUFIP2,FTH1,0
POMP,UBE2S,0
UBE2S,POMP,0
BTG1,TOP1,0
TOP1,BTG1,0
TRA2B,PTP4A2,0
PTP4A2,TRA2B,0
DYNC1LI2,PRKAR1A,0
PRKAR1A,DYNC1LI2,0
PSMB5,UBE2S,0
UBE2S,PSMB5,0
UGP2,MGST3,0
MGST3,UGP2,0
HNRNPU,ARLN,0
ARLN,HNRNPU,0
OCIAD1,FTH1,0
FTH1,OCIAD1,0
LRRFIP1,UGP2,0
UGP2,LRRFIP1,0
EIF4A3,RPS27L,0
