Cause,Effect,Label
JAK1,GNG5,1
BZW1,JAK1,1
GNG5,SSB,1
ARPC5,OST4,1
TMSB10,ARPC5,1
ACTR3,ARPC5,1
BTG2,ACTR3,1
ZFP36L2,RHOB,1
ARPC2,CLIC1,1
EGR1,CCNL1,1
HNRNPH1,TRA2B,1
SNHG8,CLIC1,1
HLA-A,ARLN,1
CCT5,SUB1,1
DUSP1,HSPA1A,1
HLA-C,HLA-E,1
HLA-B,HLA-E,1
BRD2,CDKN1A,1
DYNLT1,HMGN3,1
EZR,HMGN3,1
SARAF,CD164,1
PDLIM1,NCOA7,1
DYNLT1,NUCB2,1
EZR,TAX1BP1,1
EZR,SNHG7,1
SRI,FIS1,1
NFIB,VIM,1
TUBB4B,DNAJA1,1
TXN,BAG1,1
KLF6,NRARP,1
IFITM3,PDLIM1,1
PRDX5,DYNLL1,1
PRDX5,LGALS3,1
SLC38A2,NEAT1,1
MALAT1,ARGLU1,1
TUBA1B,SPCS2,1
DYNLL1,HSPA8,1
SLC38A2,APLP2,1
APLP2,LAMP1,1
CD9,TUBA1C,1
CD9,UBC,1
TPT1,TUBA1A,1
POMP,KRT18,1
HMGB1,KRT18,1
POMP,TMBIM4,1
PSMA6,ARPC3,1
DYNLL1,PSMB5,1
ARGLU1,PNN,1
ZFP36L1,VMP1,1
GADD45B,FOS,1
JUNB,FOS,1
FOS,IER2,1
HSP90AA1,UBB,1
RPS27L,MT2A,1
CIB1,ANKRD11,1
RPS2,PRKAR1A,1
DNAJB1,ARL6IP1,1
GADD45B,DNAJB1,1
JUNB,IER2,1
JUND,FOSB,1
MYADM,JUND,1
JUND,MAFF,1
SERTAD1,UBE2S,1
SERTAD1,ETS2,1
MYH9,MYADM,1
ATRX,DDX3X,1
COX3,COX1,1
