Cause,Effect
ATF3,MRPL20
IRF2BP2,ENO1
SRSF7,ENO1
ENO1,HSPD1
ENO1,HSPE1
MACF1,RSRP1
JUN,RSRP1
RSRP1,ARID4B
SH3BGRL3,S100A10
SH3BGRL3,TPM3
SH3BGRL3,TMSB10
SSB,NUDC
HSPE1,NUDC
ZFP36L2,WASF2
PTP4A2,JAK1
JTB,PTP4A2
PTP4A2,ACTR3
BZW1,PTP4A2
MACF1,ATP6V0B
MACF1,GNG5
MACF1,LMNA
IRF2BP2,MACF1
MACF1,HNRNPU
IRF2BP2,ATP6V0B
BZW1,ATP6V0B
ATF3,JUN
JUN,ID2
JUN,RHOB
ZFP36L2,JUN
JAK1,GNG5
JAK1,ATF3
ZFP36L2,JAK1
BZW1,JAK1
RHOB,LEPROT
LEPROT,UGP2
DBI,LEPROT
TPM3,GNG5
GNG5,SSB
CNN3,S100A11
CNN3,S100A6
CNN3,LMNA
CNN3,MGST3
RHOB,RHOC
TMSB10,RHOC
LMNA,ATP1A1
ATP1A1,ARPC5
S100A11,S100A10
S100A6,S100A10
TPM3,S100A10
S100A10,LMNA
S100A10,CCT3
S100A10,GLUL
S100A10,DBI
S100A11,S100A6
S100A11,GLUL
S100A11,SRP9
S100A11,ZFP36L2
NFE2L2,S100A11
S100A11,HSPE1
S100A6,JTB
S100A6,BZW1
IRF2BP2,JTB
JTB,SSB
HNRNPU,TPM3
TMSB10,TPM3
LMNA,MPC2
LMNA,DBI
GLUL,CCT3
IRF2BP2,CCT3
SSB,MGST3
MPC2,PRDX6
PRDX6,GLUL
ZFP36L2,PRDX6
PRDX6,DBI
BZW1,GLUL
ARPC5,OST4
TMSB10,ARPC5
ACTR3,ARPC5
ATF3,BTG2
HNRNPU,BTG2
BTG2,ACTR3
BTG2,SSB
IRF2BP2,ATF3
ATF3,ID2
IRF2BP2,ARID4B
BZW1,IRF2BP2
HNRNPU,ACTR3
HSPD1,HNRNPU
ZFP36L2,RHOB
ZFP36L2,UGP2
HSPD1,HSPE1
ARPC2,ATP1B3
ARPC2,LRPAP1
ARPC2,CCT5
ARPC2,SOX4
ARPC2,CLIC1
NCL,CCT5
HNRNPAB,NCL
NCL,HNRNPH1
VGLL4,PTMA
PTMA,ATP1B3
PTMA,H2AZ1
ARLN,PTMA
PTMA,HNRNPAB
PTMA,TUBB
PTMA,HSPA1A
PTMA,BRD2
OSTC,LRRFIP1
CLIC1,LRRFIP1
LRRFIP1,BRD2
HDLBP,CAST
HSPA1A,HDLBP
VGLL4,TM4SF1
SOX4,VGLL4
HNRNPH1,CTNNB1
NFKBIZ,SPCS1
TM4SF1,SPCS1
SPCS1,OSTC
NOL7,SPCS1
SSR3,SELENOK
TM4SF1,NFKBIZ
NFKBIZ,SSR3
LRPAP1,NFKBIZ
IER3,NFKBIZ
RAB7A,LMAN2
ATP1B3,CAST
ATP1B3,IER3
TM4SF1,MBNL1
TM4SF1,SSR3
PDCD6,TM4SF1
TM4SF1,EGR1
DUSP1,TM4SF1
SOX4,TM4SF1
HLA-E,MBNL1
TUBB,MBNL1
SSR3,SEC62
EGR1,CCNL1
CCNL1,HLA-E
ARLN,SEC62
CAST,SEC62
SEC62,CTNNA1
HNRNPH1,TRA2B
HSPA1A,TRA2B
LMAN2,LRPAP1
SOX4,H2AZ1
TUBB,H2AZ1
SNHG8,CLIC1
HLA-A,ARLN
CCT5,SUB1
PRELID1,CCT5
EGR1,SUB1
CLIC1,CAST
IRF1,HLA-E
IRF1,HSPA1A
BRD2,IRF1
CDKN1A,IRF1
DUSP1,EGR1
EGR1,PRELID1
EGR1,HNRNPH1
EGR1,NOL7
CLIC1,EGR1
EGR1,BRD2
EGR1,CDKN1A
CTNNA1,DEK
DUSP1,DEK
IER3,DUSP1
DUSP1,HSPA1A
HLA-B,PRELID1
HSPA1A,HNRNPAB
CLIC1,NOL7
TUBB,DEK
CLIC1,DEK
SOX4,HLA-B
HLA-B,HLA-A
HLA-C,HLA-E
HLA-B,HLA-E
CDKN1A,HLA-E
HLA-B,HLA-C
CLIC1,HSPA1A
BRD2,CDKN1A
HMGN3,CD164
DYNLT1,HMGN3
EZR,HMGN3
HMGN3,DDX21
NCOA7,SNX3
FIS1,SNX3
SNX3,DNAJA1
GSN,SNX3
SARAF,CD164
CD164,HSPA5
ACTB,AMD1
