,Estimation
Age_causes_ALB,1
ALB_causes_Age,1
Age_causes_ALP,1
ALP_causes_Age,1
Age_causes_BIL,1
BIL_causes_Age,0
Age_causes_CHOL,1
CHOL_causes_Age,1
Age_causes_CREA,1
CREA_causes_Age,1
Age_causes_CGT,1
CGT_causes_Age,0
Age_causes_PROT,0
PROT_causes_Age,1
ALB_causes_ALP,0
ALP_causes_ALB,0
ALB_causes_AST,0
AST_causes_ALB,0
ALB_causes_BIL,1
BIL_causes_ALB,1
ALB_causes_CHE,1
CHE_causes_ALB,1
ALB_causes_CHOL,1
CHOL_causes_ALB,1
ALB_causes_CREA,1
CREA_causes_ALB,1
ALB_causes_CGT,1
CGT_causes_ALB,1
ALB_causes_PROT,1
PROT_causes_ALB,1
ALB_causes_ALT,1
ALT_causes_ALB,1
ALP_causes_AST,1
AST_causes_ALP,1
ALP_causes_CHE,0
CHE_causes_ALP,1
ALP_causes_CHOL,0
CHOL_causes_ALP,0
ALP_causes_CREA,0
CREA_causes_ALP,0
ALP_causes_CGT,0
CGT_causes_ALP,0
ALP_causes_ALT,1
ALT_causes_ALP,1
AST_causes_BIL,1
BIL_causes_AST,1
AST_causes_CHE,1
CHE_causes_AST,1
AST_causes_CHOL,0
CHOL_causes_AST,1
AST_causes_CREA,1
CREA_causes_AST,1
AST_causes_CGT,1
CGT_causes_AST,1
AST_causes_PROT,0
PROT_causes_AST,1
AST_causes_ALT,1
ALT_causes_AST,1
BIL_causes_CHE,0
CHE_causes_BIL,0
BIL_causes_CHOL,1
CHOL_causes_BIL,1
BIL_causes_CREA,1
CREA_causes_BIL,1
BIL_causes_CGT,0
CGT_causes_BIL,0
BIL_causes_PROT,0
PROT_causes_BIL,0
BIL_causes_ALT,1
ALT_causes_BIL,1
CHE_causes_CHOL,1
CHOL_causes_CHE,1
CHE_causes_CREA,1
CREA_causes_CHE,1
CHE_causes_CGT,1
CGT_causes_CHE,1
CHE_causes_PROT,1
PROT_causes_CHE,1
CHE_causes_ALT,1
ALT_causes_CHE,1
CHOL_causes_CREA,0
CREA_causes_CHOL,0
CHOL_causes_CGT,0
CGT_causes_CHOL,0
CHOL_causes_PROT,1
PROT_causes_CHOL,1
CHOL_causes_ALT,0
ALT_causes_CHOL,0
CREA_causes_CGT,0
CGT_causes_CREA,0
CREA_causes_PROT,0
PROT_causes_CREA,0
CREA_causes_ALT,1
ALT_causes_CREA,1
CGT_causes_PROT,0
PROT_causes_CGT,1
CGT_causes_ALT,1
ALT_causes_CGT,1
PROT_causes_ALT,1
ALT_causes_PROT,1
