,Estimation
PAM50Call_RNAseq_causes_CLEC3A,1
CLEC3A_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CPB1,1
CPB1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SCGB2A2,1
SCGB2A2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SCGB1D2,1
SCGB1D2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TFF1,1
TFF1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_GSTM1,1
GSTM1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PIP,1
PIP_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_S100A7,1
S100A7_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MUCL1,1
MUCL1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CYP2B7P1,1
CYP2B7P1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ANKRD30A,1
ANKRD30A_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PRAME,1
PRAME_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CYP4Z1,1
CYP4Z1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_KCNJ3,1
KCNJ3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_AGR3,1
AGR3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_HMGCS2,1
HMGCS2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TFAP2B,1
TFAP2B_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SERPINA6,1
SERPINA6_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MUC6,1
MUC6_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_DHRS2,1
DHRS2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SLC30A8,1
SLC30A8_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_UGT2B11,1
UGT2B11_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_COL2A1,1
COL2A1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_VSTM2A,1
VSTM2A_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_C4orf7,1
C4orf7_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TAT,1
TAT_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ADIPOQ,1
ADIPOQ_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ADH1B,1
ADH1B_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CALML5,1
CALML5_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_GP2,1
GP2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_GABRP,1
GABRP_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MYBPC1,1
MYBPC1_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_KRT14,1
KRT14_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CEACAM5,1
CEACAM5_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MUC5B,1
MUC5B_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TFF3,1
TFF3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_C1orf64,1
C1orf64_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SOX10,1
SOX10_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_GRIA2,1
GRIA2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_KRT5,1
KRT5_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CRABP1,1
CRABP1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_GSTT1,1
GSTT1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SYT13,0
SYT13_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CST9,1
CST9_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_STAC2,1
STAC2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_LTF,1
LTF_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_KRT6B,1
KRT6B_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_BMPR1B,1
BMPR1B_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_HOXB13,1
HOXB13_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_KLK11,1
KLK11_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CYP2A6,1
CYP2A6_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_FABP7,1
FABP7_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_NPY1R,1
NPY1R_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CEACAM6,1
CEACAM6_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_GFRA1,1
GFRA1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ABCC11,1
ABCC11_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CRISP3,1
CRISP3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_C20orf114,1
C20orf114_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CLCA2,1
CLCA2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_KIF1A,1
KIF1A_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PVALB,1
PVALB_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TCN1,1
TCN1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_LRP2,1
LRP2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CP,1
CP_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CGA,1
CGA_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_AGR2,1
AGR2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_OBP2B,1
OBP2B_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PGR,1
PGR_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SLC34A2,1
SLC34A2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_KCNC2,1
KCNC2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_OLFM4,1
OLFM4_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_KRT6A,1
KRT6A_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MUC16,1
MUC16_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_KLK5,1
KLK5_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CYP4F8,1
CYP4F8_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PROM1,1
PROM1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MSLN,1
MSLN_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_KRT16,1
KRT16_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_BPIL1,1
BPIL1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_DSG3,1
DSG3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_FAM5C,1
FAM5C_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_A2ML1,1
A2ML1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SERPINA11,1
SERPINA11_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CBLN2,1
CBLN2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PIGR,1
PIGR_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_NLRP2,0
NLRP2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_AQP5,1
AQP5_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PTPRT,1
PTPRT_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ELF5,1
ELF5_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_KRT81,1
KRT81_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_KRT17,1
KRT17_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CA9,1
CA9_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_BEX1,1
BEX1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_VGLL1,1
VGLL1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CST1,1
CST1_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_TUSC5,1
TUSC5_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SLC6A4,1
SLC6A4_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_KLK6,1
KLK6_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_LBP,1
LBP_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CYP4Z2P,1
CYP4Z2P_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_KLK10,1
KLK10_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_NXPH1,1
NXPH1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PPP1R1B,1
PPP1R1B_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SLITRK6,1
SLITRK6_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_KLHDC7A,1
KLHDC7A_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_LRRC31,1
LRRC31_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_C10orf82,1
C10orf82_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ESR1,1
ESR1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PPP2R2C,0
PPP2R2C_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_EEF1A2,1
EEF1A2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SYT9,1
SYT9_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ANKRD30B,1
ANKRD30B_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_DCD,0
DCD_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_SCGB2A1,1
SCGB2A1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ORM1,1
ORM1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_GRPR,1
GRPR_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CALML3,1
CALML3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_FABP4,1
FABP4_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TNNT1,1
TNNT1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CHAD,1
CHAD_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SORCS1,1
SORCS1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CST5,1
CST5_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_KLK7,1
KLK7_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MAGEA6,1
MAGEA6_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ASCL1,1
ASCL1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CDC20B,1
CDC20B_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PDZK1,1
PDZK1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CLIC6,1
CLIC6_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MUC2,0
MUC2_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_CXCL17,1
CXCL17_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SLC6A14,1
SLC6A14_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PEG10,0
PEG10_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_DIO1,1
DIO1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CARTPT,1
CARTPT_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_FOXI1,1
FOXI1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_NBPF4,1
NBPF4_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SPAG6,1
SPAG6_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_CNTNAP2,1
CNTNAP2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_C7,1
C7_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CASP14,1
CASP14_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SDR16C5,1
SDR16C5_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ABCC8,1
ABCC8_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PYDC1,1
PYDC1_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_WNK4,1
WNK4_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MUC15,1
MUC15_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_LCN2,1
LCN2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CIDEC,1
CIDEC_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SCUBE2,1
SCUBE2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_S100A8,1
S100A8_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PPAN-P2RY11,0
PPAN-P2RY11_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_S100A7A,1
S100A7A_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MIA,1
MIA_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ABCA12,1
ABCA12_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PGLYRP2,1
PGLYRP2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SCGB3A1,1
SCGB3A1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_FOLR1,1
FOLR1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_DSC3,1
DSC3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CAPN8,1
CAPN8_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_C2orf54,1
C2orf54_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CXCL13,1
CXCL13_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MSMB,1
MSMB_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_IGSF1,1
IGSF1_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_S100A9,1
S100A9_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_LRP1B,1
LRP1B_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TMPRSS4,0
TMPRSS4_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MAGEA3,1
MAGEA3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SERPINA5,1
SERPINA5_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_GLYATL2,1
GLYATL2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_HS6ST3,1
HS6ST3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_LY6D,1
LY6D_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TRH,1
TRH_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SERPINB5,1
SERPINB5_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SLC7A4,1
SLC7A4_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SLC5A1,1
SLC5A1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MMP1,1
MMP1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PON3,1
PON3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SLC44A4,1
SLC44A4_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PLA2G2A,1
PLA2G2A_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SFRP1,1
SFRP1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_NBPF6,1
NBPF6_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ERBB4,1
ERBB4_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_COL17A1,1
COL17A1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ALB,1
ALB_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ZIC1,1
ZIC1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_S100P,1
S100P_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ROBO2,1
ROBO2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_RIMS4,1
RIMS4_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ORM2,1
ORM2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CYP4F22,1
CYP4F22_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_NEK10,1
NEK10_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_WIF1,1
WIF1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ABCC13,1
ABCC13_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ROPN1,1
ROPN1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_NCRNA00052,1
NCRNA00052_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_GLRA3,1
GLRA3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PI16,1
PI16_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TMC5,1
TMC5_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_IL20,1
IL20_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_LPPR3,1
LPPR3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ELOVL2,1
ELOVL2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CCL19,0
CCL19_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_INSM1,1
INSM1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TSPAN8,1
TSPAN8_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PI3,1
PI3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SLC9A2,1
SLC9A2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_LEP,1
LEP_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SLC7A2,1
SLC7A2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_FREM2,1
FREM2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MS4A15,1
MS4A15_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_HGD,1
HGD_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_WFDC2,1
WFDC2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_LOC728606,1
LOC728606_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ATP6V0A4,1
ATP6V0A4_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_KNDC1,1
KNDC1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_FAM3B,0
FAM3B_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_WDR72,1
WDR72_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_FGB,0
FGB_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_CAPN6,1
CAPN6_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_NKAIN1,1
NKAIN1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CHST8,1
CHST8_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ATP13A5,1
ATP13A5_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SYT1,1
SYT1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_NCCRP1,1
NCCRP1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TRPA1,1
TRPA1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_FOXJ1,1
FOXJ1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PTPRZ1,1
PTPRZ1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_FAM5B,1
FAM5B_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_HORMAD1,1
HORMAD1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ANXA8,1
ANXA8_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_VTCN1,1
VTCN1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CYP4B1,1
CYP4B1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SYTL5,1
SYTL5_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CCL21,1
CCL21_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_KLK8,1
KLK8_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CR2,1
CR2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PKP1,1
PKP1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ACTL8,1
ACTL8_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_GRB14,1
GRB14_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SPDYC,0
SPDYC_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_KRT15,1
KRT15_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_AGTR1,1
AGTR1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_GLDC,1
GLDC_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PLIN1,1
PLIN1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CHGB,0
CHGB_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_BCAS1,1
BCAS1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_GPD1,1
