,gene_ids,feature_types,mito,n_cells,highly_variable,means,dispersions,dispersions_norm
SAMD11,ENSG00000187634,Gene Expression,False,1053,False,0.4405266697384962,0.27123668726090905,-0.24304715
NOC2L,ENSG00000188976,Gene Expression,False,1007,False,0.3927684945783829,0.2049236310162627,-0.56491286
HES4,ENSG00000188290,Gene Expression,False,1372,False,0.7581751029038594,0.9898208724741933,1.5065658
AGRN,ENSG00000188157,Gene Expression,False,1624,False,0.7353561038055464,0.37779161369305964,-0.35636064
C1orf159,ENSG00000131591,Gene Expression,False,1729,False,0.8011765589228895,0.33525618432306514,-0.4858322
SDF4,ENSG00000078808,Gene Expression,False,1291,False,0.5139358953892569,0.12578593796286214,-0.9490259
UBE2J2,ENSG00000160087,Gene Expression,False,1290,False,0.5072333118003638,0.11787088966789454,-0.98744345
ACAP3,ENSG00000131584,Gene Expression,False,1749,False,0.8262390951991464,0.34296935599468403,-0.46235445
INTS11,ENSG00000127054,Gene Expression,False,1001,False,0.37564623757019905,0.10581303693755835,-1.045969
CCNL2,ENSG00000221978,Gene Expression,False,2216,False,1.1128863401947489,0.25613127178179923,-1.044274
MRPL20,ENSG00000242485,Gene Expression,False,1006,False,0.4386150818068474,0.40148300430087464,0.38913345
ATAD3B,ENSG00000160072,Gene Expression,False,1283,False,0.5114770806121979,0.20258018627020133,-0.5762873
SSU72,ENSG00000160075,Gene Expression,False,1280,False,0.536467228519831,0.2945911069281449,-0.12969106
CDK11B,ENSG00000248333,Gene Expression,False,1447,False,0.5831949758569944,0.13979599556005962,-0.8810249
SLC35E2B,ENSG00000189339,Gene Expression,False,1868,False,0.8418120794225094,0.16677504342544847,-0.99866384
CDK11A,ENSG00000008128,Gene Expression,False,1651,False,0.7082668301577426,0.22276949948808847,-0.828225
SLC35E2A,ENSG00000215790,Gene Expression,False,1977,False,0.9324369214431175,0.17816549542015706,-1.0692539
NADK,ENSG00000008130,Gene Expression,False,1374,False,0.5500602069572252,0.0934242263340768,-1.106101
GNB1,ENSG00000078369,Gene Expression,False,2462,False,1.5754326181002645,0.5289585598150389,-0.7230999
PRKCZ,ENSG00000067606,Gene Expression,False,1789,False,0.8576502355850963,0.34416252647907164,-0.45872262
SKI,ENSG00000157933,Gene Expression,False,1387,False,0.5870527832617956,0.2965536766822672,-0.12016529
MORN1,ENSG00000116151,Gene Expression,False,1085,False,0.4583597010949107,0.39874963810463565,0.3758664
RER1,ENSG00000157916,Gene Expression,False,1555,False,0.6878995037625525,0.32565904209752244,-0.5150445
CEP104,ENSG00000116198,Gene Expression,False,1240,False,0.5043582131503344,0.24712636290827922,-0.36007217
NPHP4,ENSG00000131697,Gene Expression,False,1125,False,0.4776902391691932,0.3557430174072438,0.16712385
RPL22,ENSG00000116251,Gene Expression,False,1784,False,1.1048518223499681,1.480399368964162,1.3244407
ACOT7,ENSG00000097021,Gene Expression,False,1214,False,0.5257370276721441,0.4199012927428427,0.47853085
ESPN,ENSG00000187017,Gene Expression,False,1684,False,0.7952605964167075,0.38080433214282833,-0.34719038
DNAJC11,ENSG00000007923,Gene Expression,False,1339,False,0.538909558309975,0.1641447930236068,-0.7628424
CAMTA1,ENSG00000171735,Gene Expression,False,1964,False,1.0142419982410362,0.45170239639463894,-0.44943318
PER3,ENSG00000049246,Gene Expression,False,1504,False,0.8272411859510098,0.7907605605993681,0.9006557
PARK7,ENSG00000116288,Gene Expression,False,1339,False,0.6127300170378025,0.6130737859532069,1.4161382
RERE,ENSG00000142599,Gene Expression,False,2600,False,2.4563845946752534,1.0802305908801477,-0.9759339
ENO1,ENSG00000074800,Gene Expression,False,1439,False,0.8086976157376972,1.102129260512801,1.8484159
CLSTN1,ENSG00000171603,Gene Expression,False,1962,False,0.9361950069239933,0.34995323065606027,-0.6799916
CTNNBIP1,ENSG00000178585,Gene Expression,False,1294,False,0.5443366142362327,0.3151637697499104,-0.029836899
UBE4B,ENSG00000130939,Gene Expression,False,2024,False,0.9971566050301282,0.40275338344601797,-0.56034917
KIF1B,ENSG00000054523,Gene Expression,False,2004,False,1.0023963763352595,0.5737336232080147,-0.17291662
PGD,ENSG00000142657,Gene Expression,False,1059,False,0.4091438780042241,0.13622441227870477,-0.89836043
PEX14,ENSG00000142655,Gene Expression,False,1874,False,0.8992151860899407,0.3349745586555981,-0.7139325
CASZ1,ENSG00000130940,Gene Expression,False,2497,False,1.7040874189683302,0.729480348962708,-0.6587546
TARDBP,ENSG00000120948,Gene Expression,False,1194,False,0.47943266815168156,0.1830551548581908,-0.67105657
EXOSC10,ENSG00000171824,Gene Expression,False,1156,False,0.4603730771006159,0.15974075775013616,-0.7842184
MTOR,ENSG00000198793,Gene Expression,False,1714,False,0.7461917081195069,0.17615211059571714,-0.97012144
VPS13D,ENSG00000048707,Gene Expression,False,2426,False,1.5132685116868836,0.5040106847894491,-0.76686686
PRDM2,ENSG00000116731,Gene Expression,False,1849,False,0.8699345699173079,0.38729029878449084,-0.5953877
KAZN,ENSG00000189337,Gene Expression,False,1934,False,2.498438473667621,2.549459125930624,1.083974
DNAJC16,ENSG00000116138,Gene Expression,False,1276,False,0.5350327915610067,0.30117178582869836,-0.097750224
DDI2,ENSG00000197312,Gene Expression,False,1737,False,0.7636357420060548,0.24932577022963348,-0.74739164
SPEN,ENSG00000065526,Gene Expression,False,2134,False,1.0737988722537288,0.3421387504042484,-0.69769883
FBXO42,ENSG00000037637,Gene Expression,False,1917,False,0.9310749338413445,0.4233748248698818,-0.513622
SZRD1,ENSG00000055070,Gene Expression,False,1100,False,0.44309211839357904,0.2144247427978972,-0.51879704
NBPF1,ENSG00000219481,Gene Expression,False,1463,False,0.6447191802223528,0.3096797603271208,-0.56368303
CROCC,ENSG00000058453,Gene Expression,False,1601,False,0.8122143781784994,0.6821995809017296,0.5702121
SDHB,ENSG00000117118,Gene Expression,False,1136,False,0.45218792224313353,0.16873096341218463,-0.74058235
RCC2,ENSG00000179051,Gene Expression,False,1724,False,0.873431225044962,0.681264882714246,0.07074375
ARHGEF10L,ENSG00000074964,Gene Expression,False,1325,False,0.5697689060607333,0.3026787248533237,-0.09043595
UBR4,ENSG00000127481,Gene Expression,False,1856,False,0.8176280575406154,0.19370800524279022,-0.9166839
CAPZB,ENSG00000077549,Gene Expression,False,2201,False,1.1907560295584048,0.4713783692415125,-0.62781376
TMCO4,ENSG00000162542,Gene Expression,False,1351,False,0.6137568603002093,0.4104034851097262,0.43243107
CAMK2N1,ENSG00000162545,Gene Expression,False,1400,False,0.6007466314320405,0.24577915347691878,-0.36661115
DDOST,ENSG00000244038,Gene Expression,False,1145,False,0.4827909307047072,0.2803054585868399,-0.19902976
HP1BP3,ENSG00000127483,Gene Expression,False,2352,False,1.5061631154312476,0.9435921253485252,0.004307291
EIF4G3,ENSG00000075151,Gene Expression,False,2566,False,2.17004146493879,0.874539320704475,-0.9254375
ECE1,ENSG00000117298,Gene Expression,False,1662,False,0.8422083105902071,0.5234513867817683,0.08700613
USP48,ENSG00000090686,Gene Expression,False,2009,False,0.9629292226597799,0.2840898614409127,-0.82923466
CDC42,ENSG00000070831,Gene Expression,False,1945,False,0.9384376167568634,0.3496294587116437,-0.6807253
ZBTB40,ENSG00000184677,Gene Expression,False,1297,False,0.52547861296573,0.2132727501213049,-0.5243885
KDM1A,ENSG00000004487,Gene Expression,False,1380,False,0.6177581551607202,0.44164588368747276,-0.16199772
HNRNPR,ENSG00000125944,Gene Expression,False,2077,False,1.0618420443002823,0.5013612317416485,-0.3369088
TCEA3,ENSG00000204219,Gene Expression,False,1869,False,0.9299438022320933,0.3763126894802335,-0.62026244
ASAP3,ENSG00000088280,Gene Expression,False,1840,False,0.9290660299632885,0.3826181525767157,-0.60597456
RPL11,ENSG00000142676,Gene Expression,False,1853,True,1.5798325770560746,2.3782480317537846,2.5211778
GALE,ENSG00000117308,Gene Expression,False,1008,False,0.4119962979704361,0.279538054325872,-0.20275454
PNRC2,ENSG00000189266,Gene Expression,False,1381,False,0.5703942439777524,0.17254057344873674,-0.72209156
SRSF10,ENSG00000188529,Gene Expression,False,2122,False,1.1484057316369327,0.7563150119034934,-0.07651816
NIPAL3,ENSG00000001461,Gene Expression,False,1223,False,0.521336048579694,0.3584052486580536,0.1800456
RCAN3,ENSG00000117602,Gene Expression,False,1010,False,0.47233740294742216,0.6922716503144066,1.8005433
SRRM1,ENSG00000133226,Gene Expression,False,2044,False,0.972479151289287,0.2099292232580526,-0.99727887
CLIC4,ENSG00000169504,Gene Expression,False,1300,False,0.6377573398833105,0.7155018649742015,0.67157936
RSRP1,ENSG00000117616,Gene Expression,False,2098,False,1.0720695135769898,0.45878470837197594,-0.433385
TMEM50A,ENSG00000183726,Gene Expression,False,1022,False,0.42438049627112273,0.3303321709952408,0.04378644
MACO1,ENSG00000204178,Gene Expression,False,1538,False,0.6963647998377239,0.3397536360926498,-0.47214264
CEP85,ENSG00000130695,Gene Expression,False,1322,False,0.6061968353193312,0.5369894889061803,1.0468454
DHDDS,ENSG00000117682,Gene Expression,False,1247,False,0.5016072619397464,0.2101991507855119,-0.53930694
HMGN2,ENSG00000198830,Gene Expression,False,1671,False,0.9234198936393685,1.2165662791372798,1.2837095
ARID1A,ENSG00000117713,Gene Expression,False,2371,False,1.4366344109277196,0.6778300369756434,-0.46192908
NUDC,ENSG00000090273,Gene Expression,False,1477,False,0.7255311491756132,0.9900277823897314,1.5071956
